seconds,'uV','uV'.1,'uV'.2,'uV'.3
1900-01-01 00:00:07.064,75.5,153.5,44.5,53.0
1900-01-01 00:00:07.065,78.5,157.0,48.5,56.5
1900-01-01 00:00:07.066,81.5,160.5,53.0,61.0
1900-01-01 00:00:07.067,84.5,164.5,57.5,66.0
1900-01-01 00:00:07.068,87.0,167.5,61.5,69.5
1900-01-01 00:00:07.069,88.5,169.5,64.0,72.0
1900-01-01 00:00:07.070,89.0,170.0,64.5,72.5
1900-01-01 00:00:07.071,87.5,168.5,62.5,71.0
1900-01-01 00:00:07.072,85.5,165.5,59.5,67.5
1900-01-01 00:00:07.073,82.0,161.5,54.5,62.5
1900-01-01 00:00:07.074,79.0,157.5,49.5,57.5
1900-01-01 00:00:07.075,75.5,153.5,44.5,52.5
1900-01-01 00:00:07.076,73.5,150.5,41.0,49.0
1900-01-01 00:00:07.077,72.5,149.0,39.0,47.0
1900-01-01 00:00:07.078,72.0,148.5,38.0,46.0
1900-01-01 00:00:07.079,72.0,148.5,38.0,46.0
1900-01-01 00:00:07.080,72.5,149.0,38.5,46.5
1900-01-01 00:00:07.081,73.5,150.5,40.0,48.0
1900-01-01 00:00:07.082,75.0,152.0,42.0,50.0
1900-01-01 00:00:07.083,77.0,154.0,44.0,52.5
1900-01-01 00:00:07.084,79.0,156.5,47.0,55.5
1900-01-01 00:00:07.085,81.5,160.0,50.5,59.5
1900-01-01 00:00:07.086,84.0,163.5,54.5,64.0
1900-01-01 00:00:07.087,87.0,167.0,58.5,68.0
1900-01-01 00:00:07.088,89.0,169.5,62.0,71.5
1900-01-01 00:00:07.089,89.5,171.0,64.0,73.5
1900-01-01 00:00:07.090,89.0,170.5,64.0,73.5
1900-01-01 00:00:07.091,87.0,168.5,61.5,71.0
1900-01-01 00:00:07.092,83.0,164.0,57.0,66.5
1900-01-01 00:00:07.093,78.5,159.0,51.0,60.5
1900-01-01 00:00:07.094,74.0,154.0,45.0,54.5
1900-01-01 00:00:07.095,70.0,149.0,39.5,49.5
1900-01-01 00:00:07.096,67.5,145.5,35.5,45.0
1900-01-01 00:00:07.097,65.5,143.0,32.5,42.5
1900-01-01 00:00:07.098,64.5,141.5,31.5,41.0
1900-01-01 00:00:07.099,64.5,141.0,31.0,40.5
1900-01-01 00:00:07.100,64.5,141.5,31.0,41.0
1900-01-01 00:00:07.101,64.5,142.0,32.0,42.0
1900-01-01 00:00:07.102,65.0,142.5,33.0,43.5
1900-01-01 00:00:07.103,65.5,143.5,34.5,45.0
1900-01-01 00:00:07.104,66.0,145.5,36.5,48.0
1900-01-01 00:00:07.105,67.5,147.5,39.0,51.5
1900-01-01 00:00:07.106,70.0,150.5,43.0,55.5
1900-01-01 00:00:07.107,72.5,154.0,47.0,60.5
1900-01-01 00:00:07.108,74.5,157.0,51.5,65.0
1900-01-01 00:00:07.109,75.5,159.5,54.5,68.5
1900-01-01 00:00:07.110,76.0,160.5,56.0,70.5
1900-01-01 00:00:07.111,75.0,159.5,55.5,70.0
1900-01-01 00:00:07.112,73.0,157.5,53.5,68.5
1900-01-01 00:00:07.113,71.0,155.5,50.5,66.0
1900-01-01 00:00:07.114,69.5,153.0,48.0,63.5
1900-01-01 00:00:07.115,68.5,151.5,46.5,62.0
1900-01-01 00:00:07.116,69.0,152.0,46.0,62.0
1900-01-01 00:00:07.117,70.5,153.0,47.5,63.5
1900-01-01 00:00:07.118,72.0,155.0,49.5,65.5
1900-01-01 00:00:07.119,74.5,157.5,51.5,68.0
1900-01-01 00:00:07.120,76.0,159.5,54.0,70.5
1900-01-01 00:00:07.121,78.0,161.5,56.5,73.5
1900-01-01 00:00:07.122,80.5,164.0,59.5,77.0
1900-01-01 00:00:07.123,83.0,166.5,62.5,80.5
1900-01-01 00:00:07.124,85.5,169.5,66.0,84.0
1900-01-01 00:00:07.125,89.0,173.5,70.0,88.5
1900-01-01 00:00:07.126,93.0,178.0,75.0,93.5
1900-01-01 00:00:07.127,97.0,183.0,80.5,98.5
1900-01-01 00:00:07.128,100.5,187.5,85.0,103.0
1900-01-01 00:00:07.129,103.0,190.5,88.5,105.5
1900-01-01 00:00:07.130,104.5,192.0,89.5,105.5
1900-01-01 00:00:07.131,104.0,191.0,88.0,103.0
1900-01-01 00:00:07.132,102.5,188.5,84.5,98.0
1900-01-01 00:00:07.133,99.5,184.5,79.5,91.5
1900-01-01 00:00:07.134,96.0,179.5,73.0,84.0
1900-01-01 00:00:07.135,92.0,174.0,66.5,76.5
1900-01-01 00:00:07.136,88.5,169.5,60.5,70.0
1900-01-01 00:00:07.137,86.0,165.5,56.0,65.0
1900-01-01 00:00:07.138,83.5,163.0,52.5,61.0
1900-01-01 00:00:07.139,82.0,161.0,50.5,58.5
1900-01-01 00:00:07.140,80.5,159.5,48.5,56.5
1900-01-01 00:00:07.141,79.5,158.5,47.5,55.5
1900-01-01 00:00:07.142,79.0,158.0,47.0,55.0
1900-01-01 00:00:07.143,79.0,158.0,47.0,56.0
1900-01-01 00:00:07.144,79.0,158.5,48.0,57.0
1900-01-01 00:00:07.145,79.5,159.5,49.5,59.0
1900-01-01 00:00:07.146,80.5,161.0,52.0,61.5
1900-01-01 00:00:07.147,81.0,162.5,54.5,64.0
1900-01-01 00:00:07.148,81.0,163.0,56.0,65.5
1900-01-01 00:00:07.149,79.5,162.5,56.0,65.5
1900-01-01 00:00:07.150,77.0,160.0,54.0,63.5
1900-01-01 00:00:07.151,73.5,156.0,50.5,59.5
1900-01-01 00:00:07.152,68.5,150.5,44.5,54.0
1900-01-01 00:00:07.153,64.0,144.5,38.5,47.5
1900-01-01 00:00:07.154,59.0,139.0,32.0,40.5
1900-01-01 00:00:07.155,55.5,134.0,26.0,35.0
1900-01-01 00:00:07.156,52.5,130.5,22.0,30.5
1900-01-01 00:00:07.157,51.0,128.5,19.0,27.5
1900-01-01 00:00:07.158,51.0,127.5,18.0,26.5
1900-01-01 00:00:07.159,51.5,128.0,18.0,27.0
1900-01-01 00:00:07.160,52.0,129.0,19.0,28.0
1900-01-01 00:00:07.161,53.5,130.0,20.0,29.0
1900-01-01 00:00:07.162,54.5,131.5,22.0,31.0
1900-01-01 00:00:07.163,56.0,133.5,24.0,33.0
1900-01-01 00:00:07.164,57.5,135.0,26.5,35.5
1900-01-01 00:00:07.165,59.5,137.5,29.5,39.0
1900-01-01 00:00:07.166,61.0,140.0,33.0,42.5
1900-01-01 00:00:07.167,63.0,143.0,37.0,46.0
1900-01-01 00:00:07.168,64.5,145.0,39.5,49.0
1900-01-01 00:00:07.169,65.0,146.0,41.0,50.5
1900-01-01 00:00:07.170,64.5,145.5,40.5,50.0
1900-01-01 00:00:07.171,62.5,143.5,38.5,47.5
1900-01-01 00:00:07.172,59.5,140.0,34.5,43.5
1900-01-01 00:00:07.173,55.5,136.0,29.5,38.0
1900-01-01 00:00:07.174,52.0,131.5,24.0,33.0
1900-01-01 00:00:07.175,49.5,128.0,19.5,28.5
1900-01-01 00:00:07.176,47.5,125.0,16.5,25.0
1900-01-01 00:00:07.177,46.5,124.0,14.5,23.5
1900-01-01 00:00:07.178,46.5,123.5,14.0,23.0
1900-01-01 00:00:07.179,47.5,124.0,14.5,23.0
1900-01-01 00:00:07.180,48.5,125.0,15.5,24.5
1900-01-01 00:00:07.181,50.0,126.5,17.0,26.0
1900-01-01 00:00:07.182,51.5,128.0,18.5,28.0
1900-01-01 00:00:07.183,53.0,130.0,21.0,30.5
1900-01-01 00:00:07.184,55.5,132.5,24.0,33.5
1900-01-01 00:00:07.185,57.5,135.5,27.5,37.5
1900-01-01 00:00:07.186,60.5,139.0,31.5,41.5
1900-01-01 00:00:07.187,62.5,142.0,35.5,45.0
1900-01-01 00:00:07.188,64.5,144.5,38.0,47.5
1900-01-01 00:00:07.189,64.5,145.5,39.5,48.5
1900-01-01 00:00:07.190,63.5,144.5,38.0,47.0
1900-01-01 00:00:07.191,61.0,141.5,35.0,43.5
1900-01-01 00:00:07.192,57.5,137.5,30.0,38.0
1900-01-01 00:00:07.193,53.5,133.0,24.5,32.0
1900-01-01 00:00:07.194,50.0,128.0,19.0,26.5
1900-01-01 00:00:07.195,46.5,124.0,14.5,21.5
1900-01-01 00:00:07.196,45.0,121.5,11.0,18.0
1900-01-01 00:00:07.197,44.0,120.5,10.0,17.0
1900-01-01 00:00:07.198,44.0,120.5,9.5,17.0
1900-01-01 00:00:07.199,44.5,121.0,10.5,18.0
1900-01-01 00:00:07.200,45.5,122.5,12.0,19.5
1900-01-01 00:00:07.201,47.0,124.0,13.5,22.0
1900-01-01 00:00:07.202,49.0,126.0,16.0,24.5
1900-01-01 00:00:07.203,51.0,128.5,19.0,28.0
1900-01-01 00:00:07.204,53.5,131.5,22.5,32.0
1900-01-01 00:00:07.205,56.0,135.0,26.5,36.5
1900-01-01 00:00:07.206,58.5,138.5,31.0,41.0
1900-01-01 00:00:07.207,61.0,141.5,35.0,45.0
1900-01-01 00:00:07.208,62.5,144.0,38.0,48.5
1900-01-01 00:00:07.209,63.0,145.0,39.5,50.0
1900-01-01 00:00:07.210,61.5,144.0,39.0,49.5
1900-01-01 00:00:07.211,59.0,141.0,36.0,46.5
1900-01-01 00:00:07.212,55.5,137.0,31.5,42.0
1900-01-01 00:00:07.213,51.0,131.5,25.5,35.5
1900-01-01 00:00:07.214,46.5,126.0,19.0,28.5
1900-01-01 00:00:07.215,42.0,120.5,12.5,22.0
1900-01-01 00:00:07.216,38.5,116.5,8.0,16.5
1900-01-01 00:00:07.217,36.0,113.5,4.5,12.5
1900-01-01 00:00:07.218,35.0,112.0,2.5,10.5
1900-01-01 00:00:07.219,34.5,111.0,2.0,9.5
1900-01-01 00:00:07.220,34.5,111.0,1.5,9.5
1900-01-01 00:00:07.221,35.0,111.5,2.0,10.0
1900-01-01 00:00:07.222,35.5,112.5,3.5,11.0
1900-01-01 00:00:07.223,36.5,114.0,5.0,13.0
1900-01-01 00:00:07.224,38.5,116.0,7.5,16.0
1900-01-01 00:00:07.225,40.5,118.5,10.5,19.5
1900-01-01 00:00:07.226,42.5,121.5,14.5,23.0
1900-01-01 00:00:07.227,45.0,124.5,18.5,27.0
1900-01-01 00:00:07.228,47.0,127.0,21.5,30.5
1900-01-01 00:00:07.229,47.5,128.5,23.0,32.5
1900-01-01 00:00:07.230,47.0,128.0,22.5,32.0
1900-01-01 00:00:07.231,44.5,125.5,20.0,29.0
1900-01-01 00:00:07.232,41.5,122.0,15.5,24.5
1900-01-01 00:00:07.233,37.0,117.0,10.0,19.0
1900-01-01 00:00:07.234,32.5,111.5,4.0,12.5
1900-01-01 00:00:07.235,29.0,107.0,-1.5,7.0
1900-01-01 00:00:07.236,26.0,103.0,-6.0,2.5
1900-01-01 00:00:07.237,24.0,100.5,-9.0,-1.0
1900-01-01 00:00:07.238,23.0,99.5,-11.0,-3.0
1900-01-01 00:00:07.239,22.5,98.5,-11.5,-3.5
1900-01-01 00:00:07.240,23.0,99.0,-11.5,-3.5
1900-01-01 00:00:07.241,23.5,99.5,-11.0,-2.5
1900-01-01 00:00:07.242,25.0,101.0,-9.5,-0.5
1900-01-01 00:00:07.243,26.5,102.5,-7.5,1.5
1900-01-01 00:00:07.244,28.0,105.0,-5.5,4.5
1900-01-01 00:00:07.245,29.5,107.5,-2.5,7.5
1900-01-01 00:00:07.246,31.5,110.5,1.0,11.0
1900-01-01 00:00:07.247,33.5,113.0,4.5,15.0
1900-01-01 00:00:07.248,34.5,115.0,7.0,17.5
1900-01-01 00:00:07.249,34.5,116.0,8.0,19.0
1900-01-01 00:00:07.250,33.5,115.0,7.5,18.0
1900-01-01 00:00:07.251,31.0,112.5,5.0,15.5
1900-01-01 00:00:07.252,27.5,109.0,1.0,11.0
1900-01-01 00:00:07.253,23.5,104.0,-5.0,5.0
1900-01-01 00:00:07.254,19.0,99.0,-10.5,-1.0
1900-01-01 00:00:07.255,15.5,94.5,-15.5,-6.5
1900-01-01 00:00:07.256,13.0,91.5,-19.5,-10.5
1900-01-01 00:00:07.257,12.0,90.0,-21.5,-13.0
1900-01-01 00:00:07.258,12.0,89.5,-22.0,-13.5
1900-01-01 00:00:07.259,12.5,90.5,-21.5,-13.0
1900-01-01 00:00:07.260,14.0,91.5,-20.5,-12.0
1900-01-01 00:00:07.261,15.0,93.0,-19.0,-10.0
1900-01-01 00:00:07.262,16.5,94.5,-17.0,-8.5
1900-01-01 00:00:07.263,18.0,96.5,-15.0,-6.5
1900-01-01 00:00:07.264,19.5,98.5,-12.5,-3.5
1900-01-01 00:00:07.265,21.5,101.5,-9.5,0.0
1900-01-01 00:00:07.266,24.0,104.5,-5.5,4.0
1900-01-01 00:00:07.267,26.0,108.0,-1.0,8.5
1900-01-01 00:00:07.268,28.0,111.0,2.5,11.5
1900-01-01 00:00:07.269,28.5,112.5,4.5,13.5
1900-01-01 00:00:07.270,28.0,112.0,5.0,13.5
1900-01-01 00:00:07.271,26.0,110.0,2.5,11.5
1900-01-01 00:00:07.272,23.0,106.5,-1.5,7.5
1900-01-01 00:00:07.273,19.0,102.0,-6.5,2.0
1900-01-01 00:00:07.274,15.5,97.5,-12.0,-3.5
1900-01-01 00:00:07.275,12.5,93.5,-17.5,-8.5
1900-01-01 00:00:07.276,10.5,91.0,-21.0,-12.5
1900-01-01 00:00:07.277,9.5,89.5,-23.0,-14.5
1900-01-01 00:00:07.278,10.0,89.0,-23.5,-15.5
1900-01-01 00:00:07.279,10.5,89.5,-23.0,-15.0
1900-01-01 00:00:07.280,12.0,90.5,-22.0,-13.5
1900-01-01 00:00:07.281,13.5,92.0,-20.0,-11.5
1900-01-01 00:00:07.282,15.5,94.5,-17.5,-9.0
1900-01-01 00:00:07.283,18.0,96.5,-15.0,-6.0
1900-01-01 00:00:07.284,20.0,99.5,-11.5,-2.5
1900-01-01 00:00:07.285,23.0,103.0,-7.5,1.5
1900-01-01 00:00:07.286,25.5,106.5,-3.0,6.0
1900-01-01 00:00:07.287,28.5,110.5,1.5,11.0
1900-01-01 00:00:07.288,30.5,114.0,5.0,14.5
1900-01-01 00:00:07.289,31.5,115.5,7.0,16.5
1900-01-01 00:00:07.290,31.0,115.5,7.5,16.5
1900-01-01 00:00:07.291,29.0,113.5,5.5,14.0
1900-01-01 00:00:07.292,25.5,110.0,1.5,10.0
1900-01-01 00:00:07.293,21.0,105.0,-4.5,4.0
1900-01-01 00:00:07.294,16.5,99.5,-10.5,-2.5
1900-01-01 00:00:07.295,12.5,95.0,-16.0,-8.5
1900-01-01 00:00:07.296,9.5,91.5,-20.0,-12.5
1900-01-01 00:00:07.297,8.0,89.5,-22.5,-15.0
1900-01-01 00:00:07.298,8.0,88.5,-23.5,-16.0
1900-01-01 00:00:07.299,8.5,89.0,-23.5,-16.0
1900-01-01 00:00:07.300,9.5,89.5,-23.0,-15.0
1900-01-01 00:00:07.301,11.0,90.5,-21.5,-13.5
1900-01-01 00:00:07.302,12.0,92.0,-20.0,-12.0
1900-01-01 00:00:07.303,13.5,93.5,-18.0,-10.0
1900-01-01 00:00:07.304,15.0,96.0,-15.5,-7.5
1900-01-01 00:00:07.305,16.5,98.0,-12.5,-4.5
1900-01-01 00:00:07.306,18.5,101.0,-9.0,-0.5
1900-01-01 00:00:07.307,21.0,104.0,-5.5,3.5
1900-01-01 00:00:07.308,22.5,106.5,-2.5,6.5
1900-01-01 00:00:07.309,23.0,108.0,-0.5,8.5
1900-01-01 00:00:07.310,22.5,107.5,-0.5,8.5
1900-01-01 00:00:07.311,21.0,105.5,-2.5,6.5
1900-01-01 00:00:07.312,18.0,102.5,-6.5,3.0
1900-01-01 00:00:07.313,14.5,98.0,-11.5,-2.0
1900-01-01 00:00:07.314,10.5,93.5,-17.0,-7.5
1900-01-01 00:00:07.315,7.5,89.5,-22.0,-12.5
1900-01-01 00:00:07.316,5.0,86.5,-25.5,-16.5
1900-01-01 00:00:07.317,3.5,84.5,-28.0,-18.5
1900-01-01 00:00:07.318,3.0,83.5,-29.5,-20.0
1900-01-01 00:00:07.319,3.0,83.5,-29.5,-20.0
1900-01-01 00:00:07.320,3.5,84.0,-29.0,-19.5
1900-01-01 00:00:07.321,4.5,85.5,-28.0,-18.0
1900-01-01 00:00:07.322,6.0,87.5,-25.5,-15.5
1900-01-01 00:00:07.323,8.0,89.5,-23.0,-12.5
1900-01-01 00:00:07.324,10.5,92.5,-19.5,-9.0
1900-01-01 00:00:07.325,13.5,96.0,-15.5,-4.5
1900-01-01 00:00:07.326,16.5,100.0,-11.0,0.5
1900-01-01 00:00:07.327,19.5,104.5,-6.5,5.5
1900-01-01 00:00:07.328,22.5,108.0,-2.0,10.0
1900-01-01 00:00:07.329,24.0,110.0,1.0,13.0
1900-01-01 00:00:07.330,24.0,110.5,2.0,13.5
1900-01-01 00:00:07.331,23.0,109.0,0.5,12.0
1900-01-01 00:00:07.332,20.5,106.0,-3.0,8.5
1900-01-01 00:00:07.333,17.0,102.0,-8.0,3.5
1900-01-01 00:00:07.334,13.5,97.0,-13.5,-2.5
1900-01-01 00:00:07.335,10.5,93.0,-18.5,-7.5
1900-01-01 00:00:07.336,8.0,90.0,-22.0,-11.5
1900-01-01 00:00:07.337,7.0,88.0,-24.0,-13.5
1900-01-01 00:00:07.338,7.0,88.0,-25.0,-14.0
1900-01-01 00:00:07.339,7.5,88.0,-24.5,-13.5
1900-01-01 00:00:07.340,8.5,89.0,-23.5,-12.5
1900-01-01 00:00:07.341,9.5,90.5,-22.0,-11.0
1900-01-01 00:00:07.342,11.0,92.0,-20.5,-9.0
1900-01-01 00:00:07.343,13.0,94.0,-18.0,-6.5
1900-01-01 00:00:07.344,15.0,96.5,-15.5,-3.5
1900-01-01 00:00:07.345,17.0,99.5,-12.0,0.5
1900-01-01 00:00:07.346,19.5,103.0,-8.0,4.5
1900-01-01 00:00:07.347,22.0,106.5,-3.5,9.0
1900-01-01 00:00:07.348,24.0,109.5,0.0,12.5
1900-01-01 00:00:07.349,25.0,111.0,2.0,14.5
1900-01-01 00:00:07.350,24.5,111.0,2.0,15.0
1900-01-01 00:00:07.351,22.5,109.0,0.0,12.5
1900-01-01 00:00:07.352,19.0,105.5,-4.0,8.0
1900-01-01 00:00:07.353,15.0,101.0,-9.5,2.5
1900-01-01 00:00:07.354,11.0,95.5,-15.0,-4.0
1900-01-01 00:00:07.355,7.5,91.0,-20.5,-9.5
1900-01-01 00:00:07.356,4.5,87.5,-25.0,-14.0
1900-01-01 00:00:07.357,2.5,85.0,-28.0,-17.5
1900-01-01 00:00:07.358,2.0,83.5,-29.5,-19.0
1900-01-01 00:00:07.359,1.5,83.5,-30.0,-19.5
1900-01-01 00:00:07.360,2.0,83.5,-29.5,-19.0
1900-01-01 00:00:07.361,3.0,84.5,-28.5,-17.5
1900-01-01 00:00:07.362,4.0,85.5,-27.5,-16.0
1900-01-01 00:00:07.363,5.5,87.5,-25.5,-14.0
1900-01-01 00:00:07.364,7.5,89.5,-22.5,-11.0
1900-01-01 00:00:07.365,9.5,92.5,-19.5,-7.5
1900-01-01 00:00:07.366,12.0,96.0,-15.5,-3.0
1900-01-01 00:00:07.367,14.5,100.0,-11.0,1.5
1900-01-01 00:00:07.368,17.0,103.0,-7.5,5.5
1900-01-01 00:00:07.369,18.0,104.5,-5.0,7.5
1900-01-01 00:00:07.370,18.0,105.0,-5.0,8.0
1900-01-01 00:00:07.371,16.0,103.0,-6.5,5.5
1900-01-01 00:00:07.372,13.0,99.5,-10.5,1.5
1900-01-01 00:00:07.373,9.0,95.0,-16.0,-4.5
1900-01-01 00:00:07.374,5.0,89.5,-22.0,-10.5
1900-01-01 00:00:07.375,1.0,85.0,-27.5,-16.5
1900-01-01 00:00:07.376,-2.0,81.0,-32.0,-20.5
1900-01-01 00:00:07.377,-3.5,79.0,-35.0,-23.0
1900-01-01 00:00:07.378,-4.0,78.0,-36.0,-24.0
1900-01-01 00:00:07.379,-3.5,78.0,-36.0,-24.0
1900-01-01 00:00:07.380,-2.5,78.5,-35.0,-23.0
1900-01-01 00:00:07.381,-1.0,80.5,-33.5,-21.5
1900-01-01 00:00:07.382,1.0,82.5,-31.5,-19.0
1900-01-01 00:00:07.383,3.0,85.0,-29.0,-16.5
1900-01-01 00:00:07.384,5.0,87.5,-26.0,-13.0
1900-01-01 00:00:07.385,7.5,91.0,-22.0,-9.0
1900-01-01 00:00:07.386,10.5,94.5,-17.5,-4.5
1900-01-01 00:00:07.387,13.5,98.5,-12.5,0.5
1900-01-01 00:00:07.388,16.0,102.0,-8.5,4.5
1900-01-01 00:00:07.389,17.0,104.0,-6.0,7.0
1900-01-01 00:00:07.390,17.0,104.0,-5.5,7.5
1900-01-01 00:00:07.391,15.5,102.5,-7.0,5.5
1900-01-01 00:00:07.392,13.5,99.5,-10.0,2.0
1900-01-01 00:00:07.393,10.5,96.0,-14.0,-3.0
1900-01-01 00:00:07.394,7.5,92.0,-19.0,-8.0
1900-01-01 00:00:07.395,5.0,88.0,-23.0,-12.5
1900-01-01 00:00:07.396,3.5,85.5,-26.5,-16.0
1900-01-01 00:00:07.397,3.0,84.5,-28.5,-18.0
1900-01-01 00:00:07.398,3.0,84.0,-29.0,-18.0
1900-01-01 00:00:07.399,4.0,85.0,-28.5,-17.5
1900-01-01 00:00:07.400,5.5,86.5,-27.5,-16.0
1900-01-01 00:00:07.401,7.0,88.0,-25.5,-14.5
1900-01-01 00:00:07.402,9.0,90.5,-23.0,-12.0
1900-01-01 00:00:07.403,11.5,93.5,-20.5,-9.0
1900-01-01 00:00:07.404,14.0,96.5,-17.0,-5.5
1900-01-01 00:00:07.405,16.5,100.0,-13.5,-1.5
1900-01-01 00:00:07.406,20.0,104.0,-9.0,3.5
1900-01-01 00:00:07.407,23.0,107.5,-4.5,8.0
1900-01-01 00:00:07.408,26.0,111.0,-0.5,12.0
1900-01-01 00:00:07.409,27.5,113.0,2.5,15.0
1900-01-01 00:00:07.410,28.0,113.5,4.0,15.5
1900-01-01 00:00:07.411,27.0,112.5,3.0,14.5
1900-01-01 00:00:07.412,25.0,110.0,0.0,11.0
1900-01-01 00:00:07.413,22.0,106.5,-4.5,6.5
1900-01-01 00:00:07.414,18.5,102.0,-9.5,1.0
1900-01-01 00:00:07.415,15.5,98.5,-14.0,-4.0
1900-01-01 00:00:07.416,13.5,95.5,-18.0,-7.5
1900-01-01 00:00:07.417,12.5,94.0,-20.0,-10.0
1900-01-01 00:00:07.418,12.5,93.5,-21.0,-11.0
1900-01-01 00:00:07.419,13.0,94.0,-21.0,-10.5
1900-01-01 00:00:07.420,14.5,95.0,-20.0,-9.5
1900-01-01 00:00:07.421,16.5,97.0,-18.0,-7.5
1900-01-01 00:00:07.422,19.0,99.5,-15.5,-4.5
1900-01-01 00:00:07.423,21.5,102.5,-12.5,-1.5
1900-01-01 00:00:07.424,24.5,105.5,-8.5,2.5
1900-01-01 00:00:07.425,27.5,109.0,-4.5,7.0
1900-01-01 00:00:07.426,31.0,113.5,0.5,11.5
1900-01-01 00:00:07.427,34.0,117.0,5.0,16.5
1900-01-01 00:00:07.428,36.5,120.5,9.0,20.5
1900-01-01 00:00:07.429,38.5,122.5,11.5,23.5
1900-01-01 00:00:07.430,38.5,123.0,12.0,24.0
1900-01-01 00:00:07.431,37.5,122.0,11.0,22.5
1900-01-01 00:00:07.432,35.5,119.5,8.0,19.5
1900-01-01 00:00:07.433,32.0,115.5,3.5,14.5
1900-01-01 00:00:07.434,28.5,111.5,-1.5,9.5
1900-01-01 00:00:07.435,25.5,107.5,-6.0,4.5
1900-01-01 00:00:07.436,23.5,104.5,-9.5,0.5
1900-01-01 00:00:07.437,22.5,103.0,-12.0,-2.0
1900-01-01 00:00:07.438,22.0,102.0,-12.5,-3.0
1900-01-01 00:00:07.439,22.5,102.0,-13.0,-3.0
1900-01-01 00:00:07.440,23.0,102.5,-12.5,-2.5
1900-01-01 00:00:07.441,23.5,103.5,-11.5,-1.5
1900-01-01 00:00:07.442,24.5,104.5,-10.5,-0.5
1900-01-01 00:00:07.443,25.5,106.0,-9.0,1.5
1900-01-01 00:00:07.444,26.5,107.5,-6.5,3.5
1900-01-01 00:00:07.445,28.5,110.0,-3.5,6.5
1900-01-01 00:00:07.446,31.0,113.0,0.5,10.5
1900-01-01 00:00:07.447,33.5,116.5,4.5,15.0
1900-01-01 00:00:07.448,35.5,119.5,8.0,18.5
1900-01-01 00:00:07.449,36.5,121.0,10.0,21.0
1900-01-01 00:00:07.450,36.5,121.0,10.0,21.5
1900-01-01 00:00:07.451,35.0,119.0,8.5,19.5
1900-01-01 00:00:07.452,32.0,116.0,5.0,15.5
1900-01-01 00:00:07.453,28.5,111.5,-0.5,10.5
1900-01-01 00:00:07.454,24.5,107.0,-6.0,4.5
1900-01-01 00:00:07.455,21.0,102.5,-11.0,-1.0
1900-01-01 00:00:07.456,18.5,99.0,-15.0,-5.5
1900-01-01 00:00:07.457,17.0,97.0,-17.5,-8.0
1900-01-01 00:00:07.458,16.5,96.0,-19.0,-9.0
1900-01-01 00:00:07.459,16.5,96.0,-19.0,-9.5
1900-01-01 00:00:07.460,17.0,96.5,-19.0,-9.0
1900-01-01 00:00:07.461,17.5,97.0,-18.0,-8.0
1900-01-01 00:00:07.462,18.5,98.5,-16.5,-6.5
1900-01-01 00:00:07.463,20.0,100.0,-14.5,-4.5
1900-01-01 00:00:07.464,22.0,102.5,-12.0,-1.5
1900-01-01 00:00:07.465,24.5,105.5,-8.5,2.5
1900-01-01 00:00:07.466,27.0,109.5,-4.0,7.0
1900-01-01 00:00:07.467,30.5,113.5,1.0,12.0
1900-01-01 00:00:07.468,33.0,117.0,5.0,16.0
1900-01-01 00:00:07.469,35.0,119.0,7.5,19.0
1900-01-01 00:00:07.470,35.0,120.0,8.5,19.5
1900-01-01 00:00:07.471,33.5,119.0,7.0,18.0
1900-01-01 00:00:07.472,31.0,116.0,4.0,14.5
1900-01-01 00:00:07.473,28.0,112.5,-1.0,10.0
1900-01-01 00:00:07.474,24.5,108.5,-6.0,4.5
1900-01-01 00:00:07.475,21.5,104.5,-11.0,-0.5
1900-01-01 00:00:07.476,19.5,101.5,-14.5,-4.5
1900-01-01 00:00:07.477,18.0,99.5,-16.5,-6.5
1900-01-01 00:00:07.478,18.0,99.0,-17.5,-7.5
1900-01-01 00:00:07.479,18.5,99.0,-17.5,-7.0
1900-01-01 00:00:07.480,20.0,100.0,-16.5,-5.5
1900-01-01 00:00:07.481,22.0,102.0,-14.5,-4.0
1900-01-01 00:00:07.482,24.0,104.5,-12.0,-1.5
1900-01-01 00:00:07.483,26.5,107.0,-9.5,1.5
1900-01-01 00:00:07.484,29.0,110.0,-6.0,5.0
1900-01-01 00:00:07.485,31.5,113.5,-2.5,8.5
1900-01-01 00:00:07.486,34.0,116.5,1.5,13.0
1900-01-01 00:00:07.487,36.5,119.5,5.5,17.0
1900-01-01 00:00:07.488,38.5,122.0,9.0,20.5
1900-01-01 00:00:07.489,39.0,123.5,10.5,22.5
1900-01-01 00:00:07.490,38.5,123.0,10.5,22.5
1900-01-01 00:00:07.491,36.5,121.5,8.5,20.5
1900-01-01 00:00:07.492,33.5,118.0,5.0,16.5
1900-01-01 00:00:07.493,30.0,114.0,0.5,11.5
1900-01-01 00:00:07.494,26.5,109.5,-5.0,6.0
1900-01-01 00:00:07.495,23.5,105.5,-9.5,1.0
1900-01-01 00:00:07.496,21.0,102.5,-13.5,-3.0
1900-01-01 00:00:07.497,19.5,100.5,-16.0,-6.0
1900-01-01 00:00:07.498,19.0,99.5,-17.5,-7.5
1900-01-01 00:00:07.499,19.0,99.5,-18.0,-7.5
1900-01-01 00:00:07.500,19.5,99.5,-17.5,-7.0
1900-01-01 00:00:07.501,20.5,100.5,-17.0,-6.0
1900-01-01 00:00:07.502,21.5,102.0,-15.5,-4.5
