From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm),Xylene (ug/m3),AT (degree C)
2023-02-01 01:00:00,2023-02-01 02:00:00,6.71,69.44,11.01,17.3,17.87,5.42,10.85,0.8,,,,,,79.33,0.67,97.35,8.29,0.0,,18.52
2023-02-01 02:00:00,2023-02-01 03:00:00,7.08,63.39,8.46,16.17,15.23,4.99,10.62,0.68,,,,,,84.89,1.16,97.39,8.54,0.0,,18.11
2023-02-01 03:00:00,2023-02-01 04:00:00,5.5,62.06,6.79,14.96,13.27,4.95,10.09,0.79,,,,,,88.05,0.47,138.45,8.69,0.0,,17.7
2023-02-01 04:00:00,2023-02-01 05:00:00,4.17,57.83,6.61,14.5,12.88,5.28,10.45,0.62,,,,,,82.82,0.57,157.53,8.5,0.0,,17.33
2023-02-01 05:00:00,2023-02-01 06:00:00,3.59,49.6,5.99,14.35,12.3,4.82,10.13,0.68,,,,,,80.09,0.54,150.4,8.62,0.0,,16.93
2023-02-01 06:00:00,2023-02-01 07:00:00,3.3,51.7,5.5,14.52,12.0,4.83,10.14,0.56,,,,,,79.2,0.66,79.05,32.15,0.0,,17.19
2023-02-01 07:00:00,2023-02-01 08:00:00,4.36,53.12,5.31,14.49,11.82,5.08,10.13,0.66,0.04,,,,,78.23,1.08,81.66,131.66,0.0,,17.74
2023-02-01 08:00:00,2023-02-01 09:00:00,6.72,49.03,4.86,14.14,11.29,4.51,10.38,0.5,0.08,,,,,75.89,0.89,102.56,318.68,0.0,,19.75
2023-02-01 09:00:00,2023-02-01 10:00:00,7.13,52.43,3.59,13.62,9.99,4.71,9.64,0.59,2.18,,,,,70.58,0.89,99.43,316.95,0.0,,21.86
2023-02-01 10:00:00,2023-02-01 11:00:00,6.72,55.23,0.35,10.99,6.02,4.78,2.01,0.67,12.72,,,,,64.47,0.5,94.69,169.9,0.0,,22.88
2023-02-01 11:00:00,2023-02-01 12:00:00,8.53,53.71,0.59,12.46,6.98,4.45,3.24,0.59,4.5,,,,,61.12,0.49,86.7,208.29,0.0,,23.64
2023-02-01 12:00:00,2023-02-01 13:00:00,10.63,55.78,0.72,16.25,9.07,5.45,3.95,0.69,3.91,,,,,57.62,0.46,138.97,266.74,0.0,,24.22
2023-02-01 13:00:00,2023-02-01 14:00:00,15.04,54.02,0.58,13.79,7.67,5.25,5.74,0.65,2.91,,,,,54.95,0.6,136.62,229.49,0.0,,24.89
2023-02-01 14:00:00,2023-02-01 15:00:00,20.78,49.68,1.61,16.43,9.88,4.75,6.48,0.66,3.49,,,,,54.77,0.28,44.51,147.11,0.0,,25.16
2023-02-01 15:00:00,2023-02-01 16:00:00,24.24,54.26,2.0,28.51,16.5,5.39,5.1,0.61,6.3,,,,,58.8,0.49,19.35,92.56,0.0,,24.49
2023-02-01 16:00:00,2023-02-01 17:00:00,29.86,66.08,1.12,26.13,14.56,5.39,4.18,0.71,6.36,,,,,63.87,0.39,57.17,30.27,0.0,,23.62
2023-02-01 17:00:00,2023-02-01 18:00:00,28.52,76.05,1.87,33.24,18.86,5.53,4.73,0.73,2.73,,,,,67.03,0.24,97.65,9.62,0.0,,22.56
2023-02-01 18:00:00,2023-02-01 19:00:00,22.5,79.93,8.76,41.39,28.65,6.19,4.96,0.78,0.3,,,,,72.26,0.25,129.38,8.78,0.0,,21.75
2023-02-01 19:00:00,2023-02-01 20:00:00,19.84,,18.93,31.07,31.42,5.77,7.06,0.85,0.02,,,,,82.46,0.44,196.56,8.79,0.0,,20.62
2023-02-01 20:00:00,2023-02-01 21:00:00,14.36,,17.24,21.79,25.2,5.54,9.59,0.89,0.09,,,,,85.93,0.25,161.25,8.67,0.0,,20.29
2023-02-01 21:00:00,2023-02-01 22:00:00,13.33,95.77,18.88,18.71,24.91,5.82,11.5,0.89,0.08,,,,,85.59,0.3,85.34,8.59,0.0,,20.31
2023-02-01 22:00:00,2023-02-01 23:00:00,14.27,94.39,22.17,17.62,26.98,5.58,13.13,0.75,0.12,,,,,88.82,0.46,81.09,8.58,0.0,,19.62
2023-02-01 23:00:00,2023-02-02 00:00:00,11.36,86.8,21.3,17.04,25.98,5.62,13.61,0.84,,,,,,88.49,0.29,97.65,8.71,0.0,,19.17
2023-02-02 00:00:00,2023-02-02 01:00:00,9.35,78.17,22.66,16.2,26.64,5.82,8.19,0.87,0.03,,,,,92.83,0.4,184.87,8.67,0.0,,18.48
2023-02-02 01:00:00,2023-02-02 02:00:00,7.74,80.17,21.76,15.53,25.57,5.47,9.62,0.68,,,,,,87.25,0.32,96.66,8.56,0.0,,18.24
2023-02-02 02:00:00,2023-02-02 03:00:00,7.85,73.79,17.11,14.9,21.5,5.58,9.77,0.67,,,,,,87.74,0.31,105.44,8.68,0.0,,18.08
2023-02-02 03:00:00,2023-02-02 04:00:00,6.97,64.47,13.74,14.15,18.41,5.59,9.98,0.61,,,,,,92.11,0.45,153.88,8.69,0.0,,17.59
2023-02-02 04:00:00,2023-02-02 05:00:00,7.81,60.34,11.72,13.43,16.42,5.23,10.15,0.66,,,,,,94.72,0.35,182.0,8.75,0.0,,16.77
2023-02-02 05:00:00,2023-02-02 06:00:00,9.45,54.99,10.87,12.79,15.4,5.38,10.02,0.6,,,,,,91.8,0.29,127.73,8.35,0.0,,16.73
2023-02-02 06:00:00,2023-02-02 07:00:00,10.85,54.48,10.21,13.45,15.21,5.3,10.05,0.68,,,,,,91.04,0.38,99.44,31.1,0.0,,16.54
2023-02-02 07:00:00,2023-02-02 08:00:00,9.18,59.29,10.0,14.17,15.42,4.96,10.07,0.59,0.09,,,,,88.06,0.86,92.69,142.94,0.0,,17.43
2023-02-02 08:00:00,2023-02-02 09:00:00,6.75,57.95,9.4,13.48,14.59,5.21,10.09,0.64,,,,,,84.53,0.59,108.96,331.82,0.0,,19.35
2023-02-02 09:00:00,2023-02-02 10:00:00,7.23,59.38,7.23,13.61,12.91,5.16,11.0,0.63,0.19,,,,,74.34,0.57,158.29,498.73,0.0,,22.18
2023-02-02 10:00:00,2023-02-02 11:00:00,14.12,57.69,1.65,14.03,8.65,4.65,5.94,0.57,13.41,0.0,0.0,,,68.65,0.59,200.12,619.06,0.0,,24.03
2023-02-02 11:00:00,2023-02-02 12:00:00,28.72,65.4,0.17,13.7,7.29,4.94,4.1,0.51,19.15,4.18,0.0,7.31,10.92,59.84,0.79,304.89,656.86,0.0,,25.73
2023-02-02 12:00:00,2023-02-02 13:00:00,43.84,72.76,0.14,14.41,7.64,5.0,4.95,0.65,15.26,4.2,0.0,11.52,16.51,52.65,0.78,262.96,657.43,0.0,,27.24
2023-02-02 13:00:00,2023-02-02 14:00:00,44.77,82.21,0.17,14.25,7.58,4.8,6.03,0.66,13.06,4.3,0.0,13.71,19.09,42.49,1.11,309.93,580.53,0.0,,28.51
2023-02-02 14:00:00,2023-02-02 15:00:00,39.76,69.43,0.36,20.24,10.87,4.82,3.5,0.59,11.11,3.37,0.0,13.14,19.01,26.27,1.64,325.1,449.41,0.0,,29.01
2023-02-02 15:00:00,2023-02-02 16:00:00,38.35,57.25,0.66,21.58,11.8,4.57,3.4,0.63,5.63,2.6,0.0,17.85,25.1,24.78,1.1,303.99,259.67,0.0,,29.08
2023-02-02 16:00:00,2023-02-02 17:00:00,32.86,54.42,0.4,17.85,9.65,4.42,1.7,0.74,8.28,2.33,0.0,22.11,30.4,31.84,0.71,268.97,84.01,0.0,,27.7
2023-02-02 17:00:00,2023-02-02 18:00:00,28.02,68.13,0.9,33.96,18.46,4.95,2.54,0.7,9.15,2.99,0.0,20.92,29.79,54.83,1.06,317.75,10.4,0.0,,24.7
2023-02-02 18:00:00,2023-02-02 19:00:00,31.81,85.6,0.89,51.02,27.37,5.19,0.77,0.76,5.52,,0.0,10.11,19.31,71.37,0.55,267.23,8.53,0.0,,22.57
2023-02-02 19:00:00,2023-02-02 20:00:00,31.04,95.9,2.9,28.38,17.16,4.99,3.38,0.74,0.25,,0.0,20.12,30.7,77.82,0.78,223.8,8.07,0.0,,21.34
2023-02-02 20:00:00,2023-02-02 21:00:00,24.67,90.85,2.75,20.05,12.68,5.17,6.04,0.74,0.5,,0.0,28.73,40.66,85.3,0.66,205.02,8.12,0.0,,20.6
2023-02-02 21:00:00,2023-02-02 22:00:00,20.37,90.89,2.5,17.64,11.22,4.9,7.98,0.84,0.31,,0.0,32.8,44.73,89.73,0.55,98.1,8.36,0.0,,19.68
2023-02-02 22:00:00,2023-02-02 23:00:00,19.25,89.28,3.37,17.1,11.64,4.96,9.36,0.77,0.02,,0.0,36.32,48.65,90.4,0.39,65.99,8.22,0.0,,18.58
2023-02-02 23:00:00,2023-02-03 00:00:00,20.95,85.31,4.99,17.36,13.07,5.14,10.09,0.68,0.01,,0.0,37.95,50.33,87.46,0.35,22.57,8.69,0.0,,17.94
2023-02-03 00:00:00,2023-02-03 01:00:00,16.92,84.06,7.41,18.11,15.41,5.12,6.29,0.8,0.04,,0.0,38.37,50.49,82.45,0.49,79.39,8.25,0.0,,17.41
2023-02-03 01:00:00,2023-02-03 02:00:00,12.96,80.62,6.02,16.98,13.7,5.13,7.28,0.77,0.04,,0.0,38.67,50.4,77.48,0.53,100.89,8.73,0.0,,18.05
2023-02-03 02:00:00,2023-02-03 03:00:00,10.32,77.86,5.04,15.98,12.39,5.23,7.5,0.71,0.11,,0.0,38.24,49.32,79.94,0.46,86.63,9.02,0.0,,17.95
2023-02-03 03:00:00,2023-02-03 04:00:00,10.23,77.81,4.78,15.73,12.05,4.99,7.52,0.65,0.21,,0.0,37.97,48.66,80.42,0.49,73.85,8.49,0.0,,16.74
2023-02-03 04:00:00,2023-02-03 05:00:00,13.68,69.32,4.45,14.74,11.26,5.03,7.25,0.69,0.08,4.75,0.0,37.65,48.06,78.52,0.36,114.44,8.48,0.0,,15.88
2023-02-03 05:00:00,2023-02-03 06:00:00,19.73,66.44,4.26,14.32,10.9,5.0,7.29,0.64,0.32,4.38,0.0,36.27,46.21,77.56,0.34,51.48,8.34,0.0,,15.46
2023-02-03 06:00:00,2023-02-03 07:00:00,17.26,69.36,3.74,13.87,10.25,4.63,6.85,0.56,0.24,3.87,0.0,35.2,44.72,76.57,0.65,97.45,35.61,0.0,,15.24
2023-02-03 07:00:00,2023-02-03 08:00:00,13.15,65.27,3.03,13.79,9.63,4.72,6.15,0.65,0.36,3.51,0.0,33.83,43.02,90.77,1.34,101.3,152.54,0.0,,15.32
2023-02-03 08:00:00,2023-02-03 09:00:00,14.11,64.27,2.45,12.9,8.71,4.66,6.4,0.62,0.47,3.52,0.0,31.91,40.61,75.38,0.92,115.64,365.65,0.0,,18.28
2023-02-03 09:00:00,2023-02-03 10:00:00,16.11,61.85,1.88,12.46,8.02,4.41,6.34,0.66,4.09,3.59,0.0,32.81,41.57,68.04,0.73,137.55,535.25,0.0,,20.71
2023-02-03 10:00:00,2023-02-03 11:00:00,17.94,59.97,0.3,11.73,6.37,4.61,1.41,0.74,8.89,,,,,58.24,0.98,124.37,656.3,0.0,,23.04
2023-02-03 11:00:00,2023-02-03 12:00:00,25.08,64.79,0.12,12.03,6.39,4.58,2.05,0.63,10.22,,,,,48.6,0.59,141.26,719.55,0.0,,25.34
2023-02-03 12:00:00,2023-02-03 13:00:00,26.25,70.1,0.26,12.42,6.7,4.34,2.56,0.67,6.36,,,,,39.12,0.55,80.3,711.08,0.0,,27.18
2023-02-03 13:00:00,2023-02-03 14:00:00,30.33,63.23,0.27,13.64,7.35,4.88,2.94,0.73,4.59,,,,,35.1,0.68,180.61,630.83,0.0,,28.68
2023-02-03 14:00:00,2023-02-03 15:00:00,31.96,60.54,0.17,12.56,6.7,4.79,4.13,0.67,9.38,,,,,28.93,0.62,250.25,473.94,0.0,,29.21
2023-02-03 15:00:00,2023-02-03 16:00:00,30.58,55.01,0.19,11.47,6.15,4.53,1.54,0.65,7.52,,,,,30.65,0.95,243.94,272.56,0.0,,28.91
2023-02-03 16:00:00,2023-02-03 17:00:00,27.32,52.52,0.21,13.45,7.2,4.74,1.09,0.64,11.14,,,,,32.59,0.88,235.44,86.72,0.0,,27.62
2023-02-03 17:00:00,2023-02-03 18:00:00,22.01,55.55,0.79,27.04,14.76,4.79,0.85,0.73,4.79,,,,,40.7,0.45,237.71,10.34,0.0,,25.09
2023-02-03 18:00:00,2023-02-03 19:00:00,20.43,68.09,1.38,23.27,13.26,4.63,2.36,0.8,1.66,,,,,48.3,0.67,275.34,8.07,0.0,,23.66
2023-02-03 19:00:00,2023-02-03 20:00:00,24.56,77.09,1.46,21.16,12.23,4.87,4.38,0.88,1.66,,,,,60.11,1.17,318.51,8.11,0.0,,22.73
2023-02-03 20:00:00,2023-02-03 21:00:00,22.09,79.09,1.37,18.83,10.94,4.76,5.87,0.75,0.83,,,,,68.82,0.38,71.63,8.74,0.0,,20.88
2023-02-03 21:00:00,2023-02-03 22:00:00,17.03,80.61,2.4,18.47,11.57,4.76,7.1,0.81,0.17,,,,,73.08,0.4,114.45,8.25,0.0,,19.9
2023-02-03 22:00:00,2023-02-03 23:00:00,13.63,85.13,4.16,19.69,13.62,5.05,7.78,0.76,0.09,,,,,80.22,0.19,72.76,8.38,0.0,,18.99
2023-02-03 23:00:00,2023-02-04 00:00:00,11.62,86.85,6.87,19.43,15.66,4.85,8.64,0.84,,,,,,86.34,0.54,210.63,8.38,0.0,,17.59
2023-02-04 00:00:00,2023-02-04 01:00:00,11.43,88.31,15.7,19.15,22.59,4.89,6.87,0.57,,,,,,82.21,0.72,85.94,8.26,0.0,,17.1
2023-02-04 01:00:00,2023-02-04 02:00:00,14.36,77.29,17.9,19.1,24.33,5.06,7.34,0.53,,,,,,77.75,0.61,89.9,8.23,0.0,,16.55
2023-02-04 02:00:00,2023-02-04 03:00:00,10.34,75.2,12.22,17.75,19.07,4.64,7.25,0.47,0.01,,,,,76.41,0.57,76.95,8.37,0.0,,16.2
2023-02-04 03:00:00,2023-02-04 04:00:00,8.23,69.43,8.01,16.36,14.97,4.62,7.11,0.48,0.12,,,,,75.97,1.05,100.09,8.05,0.0,,15.84
2023-02-04 04:00:00,2023-02-04 05:00:00,8.2,62.88,4.38,14.66,11.17,4.57,6.57,0.43,0.35,,,,,76.98,0.52,86.47,8.47,0.0,,15.46
2023-02-04 05:00:00,2023-02-04 06:00:00,9.74,55.83,3.41,13.37,9.72,4.27,6.45,0.47,0.18,,,,,81.5,0.32,98.62,8.47,0.0,,14.86
2023-02-04 06:00:00,2023-02-04 07:00:00,11.7,61.62,3.66,13.74,10.11,4.38,6.26,0.46,0.07,,,,,82.53,0.41,76.74,34.83,0.0,,14.89
2023-02-04 07:00:00,2023-02-04 08:00:00,12.49,62.66,3.69,13.62,10.07,4.33,6.22,0.45,0.32,,,,,80.0,1.12,97.47,165.01,0.0,,16.21
2023-02-04 08:00:00,2023-02-04 09:00:00,13.23,55.49,3.72,12.97,9.75,4.09,6.73,0.46,0.08,,,,,78.6,0.91,104.17,346.89,0.0,,18.14
2023-02-04 09:00:00,2023-02-04 10:00:00,13.82,51.35,2.87,12.67,8.92,4.32,6.94,0.43,0.29,,,,,72.38,0.96,113.14,501.92,0.0,,20.31
2023-02-04 10:00:00,2023-02-04 11:00:00,15.4,49.73,1.46,12.41,7.65,4.34,6.89,0.48,5.19,,,,,62.45,0.83,106.67,626.85,0.0,,22.31
2023-02-04 11:00:00,2023-02-04 12:00:00,21.07,55.89,0.2,12.0,6.43,4.04,2.52,0.48,12.69,,,,,55.53,0.78,170.57,676.43,0.0,,24.36
2023-02-04 12:00:00,2023-02-04 13:00:00,33.11,64.03,0.11,12.16,6.44,4.38,2.23,0.51,14.09,,,,,49.08,0.98,237.27,665.31,0.0,,25.93
2023-02-04 13:00:00,2023-02-04 14:00:00,38.28,64.14,0.12,11.64,6.17,4.27,2.74,0.46,12.48,,,,,42.92,0.83,264.53,557.41,0.0,,26.99
2023-02-04 14:00:00,2023-02-04 15:00:00,35.04,60.73,0.29,11.37,6.17,4.26,4.15,0.47,7.23,,,,,37.76,0.8,259.45,422.95,0.0,,27.62
2023-02-04 15:00:00,2023-02-04 16:00:00,32.53,59.49,0.11,11.37,6.03,4.37,2.33,0.48,15.89,,,,,34.27,1.11,236.94,249.89,0.0,,27.5
2023-02-04 16:00:00,2023-02-04 17:00:00,28.79,55.08,0.21,12.15,6.51,4.21,2.59,0.51,6.26,,,,,38.81,0.76,234.17,73.78,0.0,,26.19
2023-02-04 17:00:00,2023-02-04 18:00:00,23.58,55.74,1.73,17.95,10.76,4.5,4.16,0.52,1.19,,,,,46.96,0.57,257.5,10.29,0.0,,24.16
2023-02-04 18:00:00,2023-02-04 19:00:00,29.85,66.63,0.88,41.48,22.38,4.9,3.3,0.58,5.11,,,,,54.46,0.58,309.34,8.39,0.0,,22.73
2023-02-04 19:00:00,2023-02-04 20:00:00,44.43,88.72,2.63,28.51,17.0,4.6,4.47,0.56,0.48,,,,,67.38,0.42,186.96,8.58,0.0,,20.71
2023-02-04 20:00:00,2023-02-04 21:00:00,37.46,94.73,4.14,23.45,15.56,4.56,5.82,0.57,0.23,,,,,72.19,0.38,157.4,8.27,0.0,,20.01
2023-02-04 21:00:00,2023-02-04 22:00:00,27.24,96.03,5.22,22.35,15.87,4.75,7.18,0.57,0.36,,,,,76.74,0.35,127.33,8.29,0.0,,19.38
2023-02-04 22:00:00,2023-02-04 23:00:00,19.96,97.54,9.83,22.88,19.84,4.63,8.21,0.57,0.1,,,,,80.81,0.29,79.74,8.4,0.0,,18.63
2023-02-04 23:00:00,2023-02-05 00:00:00,16.31,,14.77,22.19,23.44,4.82,8.85,0.68,,,,,,87.64,0.6,66.98,8.32,0.0,,17.41
2023-02-05 00:00:00,2023-02-05 01:00:00,18.39,,20.12,21.51,27.37,5.06,6.39,0.63,,,,,,84.2,0.62,84.68,8.26,0.0,,16.7
2023-02-05 01:00:00,2023-02-05 02:00:00,23.42,99.09,15.39,19.7,22.64,4.69,6.93,0.52,0.05,,,,,85.5,1.05,93.2,8.3,0.0,,16.39
2023-02-05 02:00:00,2023-02-05 03:00:00,21.74,91.34,9.27,17.15,16.39,4.69,6.71,0.53,0.08,,,,,83.34,1.15,101.35,8.1,0.0,,16.29
2023-02-05 03:00:00,2023-02-05 04:00:00,21.57,69.2,4.85,15.22,11.85,4.62,6.74,0.53,0.13,,,,,80.21,0.6,84.59,8.51,0.0,,15.95
2023-02-05 04:00:00,2023-02-05 05:00:00,19.63,62.3,3.42,13.85,9.98,4.28,6.62,0.56,0.25,,,,,82.17,0.35,94.18,8.31,0.0,,15.38
2023-02-05 05:00:00,2023-02-05 06:00:00,22.67,69.93,3.01,13.69,9.57,4.38,6.6,0.5,0.16,,,,,83.35,0.8,98.02,8.34,0.0,,15.21
2023-02-05 06:00:00,2023-02-05 07:00:00,17.81,65.83,2.94,13.64,9.48,4.32,6.4,0.53,0.21,,,,,87.91,0.82,100.75,31.62,0.0,,14.81
2023-02-05 07:00:00,2023-02-05 08:00:00,15.51,62.09,2.86,12.75,8.96,4.06,6.43,0.5,0.34,,,,,80.73,0.84,96.48,127.17,0.0,,15.96
2023-02-05 08:00:00,2023-02-05 09:00:00,14.8,56.52,2.57,12.82,8.75,4.25,6.69,0.54,0.29,,,,,76.12,0.9,88.38,275.47,0.0,,17.51
2023-02-05 09:00:00,2023-02-05 10:00:00,14.32,53.96,1.99,12.6,8.18,4.17,7.09,0.56,0.59,,,,,73.47,0.99,88.91,425.38,0.0,,19.37
2023-02-05 10:00:00,2023-02-05 11:00:00,15.38,55.76,1.53,12.6,7.81,4.08,7.6,0.53,0.84,,,,,64.97,0.66,130.82,535.36,0.0,,21.83
2023-02-05 11:00:00,2023-02-05 12:00:00,14.89,55.99,1.18,12.71,7.58,4.3,8.23,0.47,1.24,,,,,58.41,0.48,246.07,576.15,0.0,,23.74
2023-02-05 12:00:00,2023-02-05 13:00:00,11.59,57.14,0.74,13.18,7.48,4.21,9.1,0.56,2.14,,,,,55.77,0.69,244.34,573.92,0.0,,24.95
2023-02-05 13:00:00,2023-02-05 14:00:00,12.85,62.8,0.55,13.04,7.25,4.11,9.95,0.47,2.51,,,,,52.43,0.8,271.09,441.23,0.0,,25.81
2023-02-05 14:00:00,2023-02-05 15:00:00,16.5,63.36,0.55,12.81,7.13,4.42,10.31,0.57,2.23,,,,,51.67,0.69,279.62,329.12,0.0,,26.21
2023-02-05 15:00:00,2023-02-05 16:00:00,18.92,62.83,0.59,12.92,7.23,4.26,10.89,0.48,2.12,,,,,51.33,0.8,267.17,183.27,0.0,,25.86
2023-02-05 16:00:00,2023-02-05 17:00:00,18.75,64.15,0.84,13.28,7.61,4.21,11.29,0.6,1.37,,,,,55.77,0.46,268.24,54.47,0.0,,25.1
2023-02-05 17:00:00,2023-02-05 18:00:00,14.57,72.25,1.57,18.5,10.93,4.54,12.18,0.59,0.43,,,,,63.33,0.65,315.57,10.04,0.0,,23.35
2023-02-05 18:00:00,2023-02-05 19:00:00,12.7,88.29,3.75,24.52,15.81,4.48,12.55,0.52,0.07,,,,,71.16,0.58,262.98,8.68,0.0,,21.88
2023-02-05 19:00:00,2023-02-05 20:00:00,11.17,95.23,4.45,23.96,16.08,4.48,12.97,0.67,0.01,,,,,77.08,0.5,220.38,8.3,0.0,,20.84
2023-02-05 20:00:00,2023-02-05 21:00:00,10.67,98.14,4.17,22.46,15.08,4.63,13.35,0.55,0.11,,,,,76.72,0.62,258.49,8.19,0.0,,20.4
2023-02-05 21:00:00,2023-02-05 22:00:00,10.54,97.83,2.84,21.26,13.38,4.39,13.35,0.67,0.23,,,,,80.34,0.57,146.62,8.5,0.0,,19.66
2023-02-05 22:00:00,2023-02-05 23:00:00,9.24,97.55,2.92,21.2,13.41,4.49,13.44,0.6,0.04,,,,,89.87,0.57,114.12,8.4,0.0,,18.62
2023-02-05 23:00:00,2023-02-06 00:00:00,8.3,96.94,3.68,20.13,13.47,4.6,13.58,0.57,,,,,,92.99,0.27,68.74,8.36,0.0,,18.0
2023-02-06 00:00:00,2023-02-06 01:00:00,9.36,,7.25,20.84,16.7,4.72,7.04,1.0,,,,,,96.27,0.34,60.08,8.59,0.0,,16.97
2023-02-06 01:00:00,2023-02-06 02:00:00,8.52,99.87,7.96,19.59,16.62,4.76,7.31,0.91,,,,,,91.48,0.58,86.95,7.99,0.0,,16.54
2023-02-06 02:00:00,2023-02-06 03:00:00,7.8,96.46,6.4,18.99,15.05,4.84,7.35,0.79,,,,,,89.62,0.47,85.58,8.0,0.0,,16.23
2023-02-06 03:00:00,2023-02-06 04:00:00,7.12,85.42,4.81,16.73,12.6,4.47,6.74,0.91,0.01,,,,,93.17,0.64,95.31,8.22,0.0,,15.71
2023-02-06 04:00:00,2023-02-06 05:00:00,21.28,74.19,4.06,14.64,10.91,4.6,6.95,0.89,0.03,,,,,94.72,0.29,75.39,8.41,0.0,,15.4
2023-02-06 05:00:00,2023-02-06 06:00:00,46.68,68.92,4.11,14.39,10.81,4.59,6.56,0.81,,,,,,92.72,0.43,86.36,8.25,0.0,,15.07
2023-02-06 06:00:00,2023-02-06 07:00:00,34.89,73.12,3.78,14.72,10.72,4.28,6.58,0.79,0.28,,,,,89.41,0.87,100.03,31.69,0.0,,15.01
2023-02-06 07:00:00,2023-02-06 08:00:00,24.18,71.14,3.13,14.22,9.94,4.41,6.33,0.87,0.09,,,,,90.41,1.04,96.15,124.36,0.0,,15.73
2023-02-06 08:00:00,2023-02-06 09:00:00,19.59,72.26,3.34,14.57,10.29,4.35,6.57,0.8,0.1,,,,,86.48,0.76,99.86,252.81,0.0,,17.3
2023-02-06 09:00:00,2023-02-06 10:00:00,21.8,71.08,2.8,14.11,9.61,4.19,6.94,0.88,0.3,,,,,78.01,0.55,108.6,386.34,0.0,,19.55
2023-02-06 10:00:00,2023-02-06 11:00:00,22.32,73.75,1.01,13.85,8.04,4.4,4.34,0.78,13.73,,,,,68.89,0.91,87.69,486.2,0.0,,21.44
2023-02-06 11:00:00,2023-02-06 12:00:00,20.22,,0.12,12.37,6.55,4.25,2.0,0.83,12.96,,,,,63.51,0.77,134.97,527.67,0.0,,23.0
2023-02-06 12:00:00,2023-02-06 13:00:00,,94.46,0.23,12.74,6.84,4.18,3.52,0.83,14.29,,,,,58.94,1.1,230.67,515.61,0.0,,24.16
2023-02-06 13:00:00,2023-02-06 14:00:00,58.66,94.46,0.17,13.15,7.0,4.43,3.79,0.81,26.83,,,,,53.95,1.12,225.31,473.01,0.0,,24.98
2023-02-06 14:00:00,2023-02-06 15:00:00,58.66,87.2,0.27,12.44,6.71,4.27,4.67,0.75,7.56,,,,,52.04,1.42,239.9,356.36,0.0,,25.33
2023-02-06 15:00:00,2023-02-06 16:00:00,56.76,88.87,0.22,12.66,6.79,4.18,5.33,0.78,16.44,,,,,51.42,1.4,237.31,195.64,0.0,,25.09
2023-02-06 16:00:00,2023-02-06 17:00:00,52.86,87.41,0.29,17.78,9.52,4.51,5.39,0.8,9.45,,,,,51.58,0.66,242.71,67.07,0.0,,24.33
2023-02-06 17:00:00,2023-02-06 18:00:00,41.05,76.01,1.24,47.89,26.02,4.74,4.74,0.9,7.22,,,,,60.35,0.32,323.0,10.27,0.0,,22.24
2023-02-06 18:00:00,2023-02-06 19:00:00,32.13,,5.2,55.24,33.03,4.78,5.21,1.2,0.77,,,,,69.03,0.46,317.11,8.29,0.0,,20.82
2023-02-06 19:00:00,2023-02-06 20:00:00,29.94,,5.62,35.25,22.93,4.86,7.1,1.06,0.31,,,,,69.29,0.6,271.36,8.24,0.0,,20.41
2023-02-06 20:00:00,2023-02-06 21:00:00,27.7,,3.73,27.81,17.52,4.58,7.97,1.11,0.82,,,,,68.26,0.49,236.45,8.33,0.0,,19.73
2023-02-06 21:00:00,2023-02-06 22:00:00,26.13,,2.53,24.06,14.6,4.54,8.97,0.98,0.61,,,,,73.49,0.34,86.82,8.52,0.0,,18.89
2023-02-06 22:00:00,2023-02-06 23:00:00,23.7,,3.64,24.24,15.58,4.7,9.43,1.14,0.16,,,,,86.3,0.42,108.07,8.28,0.0,,17.77
2023-02-06 23:00:00,2023-02-07 00:00:00,18.14,97.05,4.42,22.73,15.42,4.43,10.22,1.03,0.05,,,,,89.18,0.22,112.94,8.31,0.0,,17.25
2023-02-07 00:00:00,2023-02-07 01:00:00,15.85,97.05,8.73,21.7,18.34,4.5,7.01,0.91,,,,,,94.79,0.46,107.05,8.59,0.0,,16.36
2023-02-07 01:00:00,2023-02-07 02:00:00,14.38,,11.55,20.15,19.79,4.58,7.42,0.97,0.01,,,,,95.2,0.39,74.26,8.39,0.0,,15.75
2023-02-07 02:00:00,2023-02-07 03:00:00,14.9,99.79,7.65,18.67,15.89,4.23,7.79,0.89,0.17,,,,,94.01,0.58,99.64,7.91,0.0,,15.63
2023-02-07 03:00:00,2023-02-07 04:00:00,18.99,99.11,4.33,18.12,12.94,4.24,7.48,0.92,0.14,,,,,95.66,0.99,99.72,7.97,0.0,,15.38
2023-02-07 04:00:00,2023-02-07 05:00:00,22.27,91.86,2.84,15.47,10.36,4.21,7.4,0.86,0.16,,,,,98.79,0.59,83.77,8.42,0.0,,14.95
2023-02-07 05:00:00,2023-02-07 06:00:00,27.08,79.32,2.99,14.58,10.01,3.91,7.21,0.95,0.12,,,,,99.38,1.26,91.95,8.47,0.0,,14.55
2023-02-07 06:00:00,2023-02-07 07:00:00,21.27,75.57,3.19,14.31,10.03,4.12,7.01,0.82,0.01,,,,,98.06,0.51,168.45,32.64,0.0,,14.55
