From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-12-12 19:00:00,2022-12-12 20:00:00,177.5,279.5,32.42,77.65,67.67,52.45,23.25,2.94,15.0,5.38,22.62,12.8,0.82,41.5,0.47,59.5,12.0,23.9,0.0,5.9
2022-12-12 20:00:00,2022-12-12 21:00:00,190.25,297.0,63.55,85.82,97.32,59.4,27.3,4.23,2.38,8.0,36.8,24.27,1.48,50.0,0.33,187.5,12.0,23.2,0.0,10.75
2022-12-12 21:00:00,2022-12-12 22:00:00,234.5,404.0,46.58,78.28,79.48,60.38,25.35,3.47,9.15,7.4,36.25,23.68,1.65,49.5,0.45,119.25,12.0,23.15,0.0,10.6
2022-12-12 22:00:00,2022-12-12 23:00:00,192.25,318.0,18.9,69.1,52.15,55.12,22.5,1.77,7.0,4.65,25.93,16.95,1.15,54.5,0.33,285.0,12.0,22.42,0.0,7.78
2022-12-12 23:00:00,2022-12-13 00:00:00,136.5,196.75,1.43,40.5,22.7,54.73,23.17,0.56,20.2,2.43,14.97,8.15,0.88,58.5,0.4,295.0,12.0,21.88,0.0,4.2
2022-12-13 00:00:00,2022-12-13 01:00:00,107.25,162.5,0.97,49.95,27.4,50.7,31.22,,12.42,1.3,8.8,3.7,0.38,60.75,0.43,312.25,12.0,21.55,0.0,1.9
2022-12-13 01:00:00,2022-12-13 02:00:00,83.0,147.0,0.8,42.62,23.33,47.93,29.68,,11.45,1.05,7.7,2.55,0.15,63.75,0.4,309.25,12.0,21.3,0.0,1.25
2022-12-13 02:00:00,2022-12-13 03:00:00,75.25,127.75,0.35,37.3,20.12,47.55,23.83,,11.88,1.07,7.3,2.2,0.17,62.75,0.28,221.25,12.0,21.48,0.0,1.0
2022-12-13 03:00:00,2022-12-13 04:00:00,77.5,118.5,1.12,27.15,15.32,48.98,22.18,,42.92,1.0,7.27,2.17,0.08,56.0,0.42,106.25,12.0,22.0,0.0,1.02
2022-12-13 04:00:00,2022-12-13 05:00:00,67.25,96.0,0.17,17.43,9.35,46.55,21.3,,60.08,0.85,5.53,1.1,,53.0,0.4,122.75,12.0,21.98,0.0,0.45
2022-12-13 05:00:00,2022-12-13 06:00:00,67.5,83.25,0.38,18.62,10.22,41.9,21.15,,60.28,0.85,5.53,0.92,,49.75,0.45,95.25,12.0,21.92,0.0,0.35
2022-12-13 06:00:00,2022-12-13 07:00:00,79.25,100.75,0.68,23.62,13.12,40.5,21.75,,51.25,0.9,5.47,1.02,,49.5,0.62,107.0,13.5,21.7,0.0,0.38
2022-12-13 07:00:00,2022-12-13 08:00:00,82.0,133.25,2.6,28.73,17.4,41.05,23.0,0.0,48.45,1.18,5.58,1.4,0.08,47.5,0.95,86.75,30.5,21.88,0.0,0.55
2022-12-13 08:00:00,2022-12-13 09:00:00,88.25,143.75,2.62,24.05,14.93,43.65,26.33,,60.05,0.97,5.45,1.5,0.08,44.75,1.65,74.5,99.5,22.27,0.0,0.6
2022-12-13 09:00:00,2022-12-13 10:00:00,91.0,153.25,2.6,24.43,15.07,45.47,25.65,,80.63,0.75,6.35,1.02,0.05,40.25,1.88,71.75,172.25,22.97,0.0,0.62
2022-12-13 10:00:00,2022-12-13 11:00:00,92.0,153.25,2.22,26.77,16.05,43.68,23.15,0.88,89.43,0.97,9.53,1.25,0.08,36.0,1.97,60.75,226.0,23.73,0.0,0.73
2022-12-13 11:00:00,2022-12-13 12:00:00,98.5,163.25,2.35,30.55,18.15,42.02,20.05,0.89,86.9,1.12,13.62,1.48,0.1,31.75,1.93,64.75,253.75,24.57,0.0,0.93
2022-12-13 12:00:00,2022-12-13 13:00:00,83.25,142.75,1.73,26.4,15.43,38.32,18.98,0.84,93.5,0.85,14.05,1.65,0.05,28.5,1.95,64.25,250.0,25.07,0.0,0.8
2022-12-13 13:00:00,2022-12-13 14:00:00,61.75,122.0,1.68,24.55,14.4,33.55,16.98,0.8,92.65,0.72,13.18,1.77,0.08,26.0,1.8,73.25,212.5,25.38,0.0,0.75
2022-12-13 14:00:00,2022-12-13 15:00:00,52.5,110.75,1.62,22.45,13.25,30.6,17.07,0.82,97.9,0.55,12.05,1.8,0.05,26.5,1.68,71.25,152.5,25.55,0.0,0.8
2022-12-13 15:00:00,2022-12-13 16:00:00,55.0,109.5,1.27,20.65,12.0,30.05,17.93,0.8,107.3,0.62,9.9,1.75,0.08,28.75,1.62,55.25,82.75,25.42,0.0,0.72
2022-12-13 16:00:00,2022-12-13 17:00:00,52.5,97.5,0.72,19.8,11.15,29.65,16.3,0.82,100.55,0.88,8.0,2.1,0.08,31.75,1.4,38.5,30.75,25.15,0.0,0.92
2022-12-13 17:00:00,2022-12-13 18:00:00,49.75,91.5,1.8,37.85,21.6,27.3,16.62,1.29,73.5,0.95,6.1,2.3,0.12,35.0,1.15,22.25,13.0,24.48,0.0,1.0
2022-12-13 18:00:00,2022-12-13 19:00:00,57.25,115.5,3.7,66.95,38.6,32.08,20.5,2.22,34.1,1.62,9.9,5.22,0.3,42.25,0.7,239.25,12.0,23.55,0.0,2.8
2022-12-13 19:00:00,2022-12-13 20:00:00,102.25,180.0,3.67,61.1,35.5,39.77,24.55,2.17,25.2,3.2,19.93,8.45,0.57,49.75,0.42,211.75,12.0,22.65,0.0,4.25
2022-12-13 20:00:00,2022-12-13 21:00:00,133.0,207.5,3.78,42.8,25.83,40.3,20.1,1.52,46.95,2.0,11.22,5.77,0.35,45.0,1.08,14.5,12.0,23.08,0.0,2.98
2022-12-13 21:00:00,2022-12-13 22:00:00,80.75,134.0,1.9,32.62,18.93,37.58,18.73,1.06,56.6,1.5,9.12,4.58,0.23,45.25,1.43,20.0,12.0,22.88,0.0,2.32
2022-12-13 22:00:00,2022-12-13 23:00:00,62.5,110.75,6.78,52.75,33.6,34.73,18.08,1.53,30.2,1.38,6.5,2.75,0.12,48.75,0.5,106.75,12.0,22.38,0.0,1.2
2022-12-13 23:00:00,2022-12-14 00:00:00,76.25,143.5,21.22,67.55,53.2,37.23,23.47,2.15,6.88,1.95,11.62,4.97,0.33,53.25,0.2,84.5,12.0,21.82,0.0,2.67
2022-12-14 00:00:00,2022-12-14 01:00:00,103.25,207.0,6.38,49.57,31.55,43.12,18.52,0.66,15.85,1.7,11.2,4.65,0.27,55.0,0.32,281.0,12.0,21.55,0.0,2.5
2022-12-14 01:00:00,2022-12-14 02:00:00,69.0,137.75,0.95,29.5,16.48,42.05,19.17,0.4,38.73,1.02,6.53,1.85,0.08,52.5,0.53,167.25,12.0,21.5,0.0,0.78
2022-12-14 02:00:00,2022-12-14 03:00:00,53.25,91.75,1.37,25.48,14.38,37.08,18.18,0.22,55.8,0.65,5.55,1.12,,47.75,0.82,116.25,12.0,21.85,0.0,0.42
2022-12-14 03:00:00,2022-12-14 04:00:00,44.75,82.75,0.2,20.45,10.85,36.08,18.57,0.2,57.95,0.5,4.5,0.75,,48.75,1.1,109.0,12.0,21.58,0.0,0.25
2022-12-14 04:00:00,2022-12-14 05:00:00,47.5,84.25,0.1,16.85,8.97,33.6,19.15,0.21,67.7,0.55,3.95,0.55,,47.75,1.23,26.0,12.0,21.55,0.0,0.2
2022-12-14 05:00:00,2022-12-14 06:00:00,54.5,81.5,,18.05,9.62,32.38,20.02,0.28,64.58,0.65,3.93,0.6,,50.5,0.7,186.5,12.0,21.25,0.0,0.2
2022-12-14 06:00:00,2022-12-14 07:00:00,66.5,100.25,0.15,23.65,12.6,33.0,19.3,0.46,55.4,0.7,4.35,0.85,,52.25,0.45,326.0,13.25,21.05,0.0,0.3
2022-12-14 07:00:00,2022-12-14 08:00:00,82.0,139.5,2.75,40.47,23.77,34.97,21.25,0.73,47.45,1.12,5.88,1.3,0.05,50.75,0.78,169.75,30.75,21.4,0.0,0.75
2022-12-14 08:00:00,2022-12-14 09:00:00,93.75,170.0,3.27,28.58,17.85,36.05,25.2,0.65,66.3,1.12,6.55,2.62,0.1,46.25,1.33,27.25,95.75,22.17,0.0,1.2
2022-12-14 09:00:00,2022-12-14 10:00:00,76.0,152.5,1.67,20.53,12.25,36.28,25.62,0.48,83.27,0.78,5.97,1.15,0.05,40.0,1.68,60.5,171.5,22.95,0.0,0.65
2022-12-14 10:00:00,2022-12-14 11:00:00,63.5,133.5,1.98,22.8,13.75,32.5,22.9,0.55,79.3,0.62,9.03,0.8,,33.25,1.8,58.5,226.5,23.57,0.0,0.5
2022-12-14 11:00:00,2022-12-14 12:00:00,56.5,128.0,2.95,27.65,17.1,31.3,20.0,0.67,78.83,0.88,14.45,1.6,0.08,29.75,1.7,72.75,251.75,24.2,0.0,1.05
2022-12-14 12:00:00,2022-12-14 13:00:00,55.0,123.0,2.27,25.07,15.13,28.62,19.83,0.65,88.8,0.73,12.05,2.15,0.1,26.5,1.98,63.75,250.25,24.65,0.0,0.98
2022-12-14 13:00:00,2022-12-14 14:00:00,53.25,126.75,2.2,22.62,13.78,27.12,18.27,0.61,87.95,0.73,8.12,2.08,0.08,25.75,1.52,70.25,211.25,25.0,0.0,0.88
2022-12-14 14:00:00,2022-12-14 15:00:00,45.25,100.25,2.18,22.62,13.77,26.35,17.08,0.62,86.9,0.57,9.8,2.1,0.08,25.25,1.52,73.25,151.0,25.15,0.0,0.9
2022-12-14 15:00:00,2022-12-14 16:00:00,36.25,88.75,2.12,24.5,14.7,26.68,17.5,0.76,88.25,0.62,8.57,2.1,0.1,27.0,1.32,83.0,82.0,25.15,0.0,0.9
2022-12-14 16:00:00,2022-12-14 17:00:00,37.75,86.0,2.25,35.42,20.67,27.0,17.77,0.99,82.38,0.9,6.62,3.45,0.15,30.5,1.2,80.25,30.75,24.77,0.0,1.98
2022-12-14 17:00:00,2022-12-14 18:00:00,53.75,131.25,23.75,91.72,68.1,32.15,22.83,2.65,30.73,2.42,12.62,7.4,0.45,36.5,0.6,76.25,13.0,24.1,0.0,4.3
2022-12-14 18:00:00,2022-12-14 19:00:00,105.5,238.75,14.22,83.0,55.7,38.27,22.88,2.69,19.0,4.72,21.98,13.38,0.82,41.75,0.4,54.0,12.0,23.43,0.0,6.38
2022-12-14 19:00:00,2022-12-14 20:00:00,158.75,282.5,23.62,85.12,64.45,41.33,24.83,3.27,5.53,4.33,25.2,11.25,0.7,47.5,0.35,315.25,12.0,22.68,0.0,5.67
2022-12-14 20:00:00,2022-12-14 21:00:00,190.25,307.5,15.22,68.7,48.9,46.2,24.88,2.56,4.12,6.15,30.37,14.88,0.93,50.5,0.5,303.25,12.0,21.97,0.0,7.18
2022-12-14 21:00:00,2022-12-14 22:00:00,188.25,298.75,19.77,66.75,51.6,42.73,34.8,2.35,3.75,3.8,16.72,8.88,0.55,53.75,0.45,325.75,12.0,21.52,0.0,4.42
2022-12-14 22:00:00,2022-12-14 23:00:00,143.0,251.75,28.32,62.15,56.05,44.9,28.35,2.52,0.33,3.48,19.42,9.28,0.6,57.0,0.35,293.25,12.0,21.45,0.0,4.62
2022-12-14 23:00:00,2022-12-15 00:00:00,167.5,290.75,6.85,40.32,27.0,44.33,20.9,1.21,12.2,2.95,16.05,7.65,0.52,59.75,0.57,317.0,12.0,20.9,0.0,3.95
2022-12-15 00:00:00,2022-12-15 01:00:00,101.75,176.75,1.57,43.72,24.55,41.27,21.65,0.05,12.38,1.2,8.05,2.67,0.12,61.5,0.67,323.75,12.0,20.45,0.0,1.15
2022-12-15 01:00:00,2022-12-15 02:00:00,66.5,120.75,1.45,51.4,28.53,38.72,31.72,0.05,7.2,0.73,6.22,0.67,,62.75,0.5,322.75,12.0,20.32,0.0,0.47
2022-12-15 02:00:00,2022-12-15 03:00:00,60.5,117.0,0.57,38.8,21.12,37.1,27.38,,13.35,0.68,6.6,1.25,0.08,64.25,0.6,304.75,12.0,20.05,0.0,0.53
2022-12-15 03:00:00,2022-12-15 04:00:00,52.25,95.25,0.47,34.8,18.88,35.22,31.45,,19.27,0.53,5.52,0.77,,64.0,0.5,302.75,12.0,19.95,0.0,0.33
2022-12-15 04:00:00,2022-12-15 05:00:00,49.25,77.5,0.23,29.5,15.85,34.1,26.7,,21.25,0.5,5.33,0.88,,63.5,0.3,315.75,12.0,20.08,0.0,0.3
2022-12-15 05:00:00,2022-12-15 06:00:00,54.5,81.25,0.42,29.95,16.3,35.92,24.23,0.0,14.58,0.88,6.62,1.38,0.1,65.0,0.47,304.25,12.0,20.05,0.0,0.67
2022-12-15 06:00:00,2022-12-15 07:00:00,65.5,107.5,0.72,32.97,18.1,37.12,20.85,0.08,17.68,1.1,6.47,1.35,0.1,68.0,0.57,288.25,13.25,19.5,0.0,0.7
2022-12-15 07:00:00,2022-12-15 08:00:00,83.25,150.0,5.07,40.0,25.43,37.35,21.38,0.31,22.15,1.2,5.97,1.2,0.1,66.75,0.75,305.5,30.75,19.6,0.0,0.52
2022-12-15 08:00:00,2022-12-15 09:00:00,111.5,189.75,6.5,42.65,27.98,39.02,26.23,0.57,35.1,1.68,6.88,1.52,0.12,58.25,0.53,314.5,96.25,20.85,0.0,1.02
2022-12-15 09:00:00,2022-12-15 10:00:00,134.0,214.25,5.15,39.55,25.2,39.83,26.38,0.68,73.57,1.82,10.47,3.12,0.23,40.0,0.45,216.25,170.5,22.8,0.0,2.27
2022-12-15 10:00:00,2022-12-15 11:00:00,99.75,184.5,3.38,31.12,19.27,31.65,23.7,0.25,75.7,1.2,17.77,2.5,0.17,27.25,0.95,86.75,229.75,23.53,0.0,1.8
2022-12-15 11:00:00,2022-12-15 12:00:00,65.0,129.0,2.7,31.4,18.9,29.88,19.85,0.21,78.0,0.75,23.98,1.85,0.1,29.75,1.02,76.25,259.0,24.05,0.0,1.27
2022-12-15 12:00:00,2022-12-15 13:00:00,50.5,102.25,2.07,29.17,17.2,30.32,20.57,0.26,89.08,0.58,24.07,1.25,0.4,30.0,1.43,66.5,253.75,24.27,0.0,0.8
2022-12-15 13:00:00,2022-12-15 14:00:00,52.75,105.25,2.15,26.12,15.62,30.8,20.15,0.24,94.55,0.65,19.93,1.93,0.1,31.25,1.38,84.75,207.5,24.55,0.0,0.78
2022-12-15 14:00:00,2022-12-15 15:00:00,52.5,105.5,2.45,28.07,16.93,30.48,18.93,0.26,93.3,0.68,16.25,2.25,0.08,31.75,1.55,97.0,152.25,24.7,0.0,0.97
2022-12-15 15:00:00,2022-12-15 16:00:00,47.5,104.5,2.15,22.47,13.7,30.13,17.43,0.18,97.17,0.82,13.3,2.95,0.1,31.0,1.58,60.75,86.75,24.7,0.0,1.37
2022-12-15 16:00:00,2022-12-15 17:00:00,47.25,108.75,1.75,31.45,18.18,28.45,18.15,0.42,92.72,0.82,8.12,2.32,0.1,35.25,1.45,95.0,31.5,24.18,0.0,1.0
2022-12-15 17:00:00,2022-12-15 18:00:00,55.0,128.0,4.9,59.68,35.7,28.4,19.57,1.44,58.18,1.57,10.35,4.43,0.23,40.5,0.97,99.5,12.75,23.33,0.0,2.25
2022-12-15 18:00:00,2022-12-15 19:00:00,90.75,190.0,7.8,71.75,44.5,36.35,20.98,1.79,38.05,3.7,18.57,10.12,0.57,43.5,0.57,63.75,12.0,22.88,0.0,4.9
2022-12-15 19:00:00,2022-12-15 20:00:00,149.25,259.0,11.12,88.65,56.25,34.88,21.18,2.81,15.92,3.78,18.45,10.95,0.65,48.5,0.25,229.5,12.0,22.3,0.0,5.17
2022-12-15 20:00:00,2022-12-15 21:00:00,175.5,278.5,28.8,87.85,70.15,47.08,23.2,3.09,1.55,4.9,24.95,15.7,0.98,55.25,0.4,320.75,12.0,21.55,0.0,7.12
2022-12-15 21:00:00,2022-12-15 22:00:00,224.5,329.25,15.85,70.67,50.52,44.7,27.38,1.77,1.38,4.08,19.12,10.5,0.7,60.0,0.53,310.5,12.0,20.77,0.0,5.05
2022-12-15 22:00:00,2022-12-15 23:00:00,181.0,249.75,3.95,46.1,27.75,42.57,25.48,0.86,15.35,2.35,12.38,5.7,0.35,61.5,0.53,326.25,12.0,20.4,0.0,3.0
2022-12-15 23:00:00,2022-12-16 00:00:00,133.75,191.5,1.23,45.83,25.38,39.77,31.03,0.61,16.42,1.5,8.22,2.02,0.15,62.5,0.47,311.25,12.0,20.25,0.0,1.45
2022-12-16 00:00:00,2022-12-16 01:00:00,117.25,163.0,3.38,49.75,29.2,38.07,27.77,0.46,7.7,1.28,7.4,2.25,0.1,66.25,0.62,309.25,12.0,19.75,0.0,0.98
2022-12-16 01:00:00,2022-12-16 02:00:00,100.5,145.0,2.73,43.1,25.12,37.02,27.4,0.29,14.78,0.98,6.08,1.02,0.03,66.5,0.55,307.25,12.0,19.55,0.0,0.45
2022-12-16 02:00:00,2022-12-16 03:00:00,91.5,130.5,1.02,44.35,24.42,36.17,25.68,0.31,12.45,0.77,5.6,1.15,0.03,67.0,0.45,309.0,12.0,19.58,0.0,0.43
2022-12-16 03:00:00,2022-12-16 04:00:00,81.0,119.0,0.37,31.53,16.98,36.05,22.0,0.22,20.58,0.78,5.85,1.23,0.08,68.25,0.82,310.0,12.0,19.27,0.0,0.47
2022-12-16 04:00:00,2022-12-16 05:00:00,71.0,100.25,0.55,34.95,19.02,34.57,23.7,0.31,18.4,0.78,5.15,0.57,,68.5,0.53,291.5,12.0,19.12,0.0,0.28
2022-12-16 05:00:00,2022-12-16 06:00:00,70.0,105.25,0.13,34.42,18.35,33.33,22.35,0.27,17.08,0.88,5.72,1.1,,68.5,0.7,308.0,12.0,18.98,0.0,0.4
2022-12-16 06:00:00,2022-12-16 07:00:00,72.5,120.0,1.17,34.83,19.48,33.35,22.72,0.5,17.48,0.88,5.1,0.88,,68.5,0.65,317.5,13.25,18.85,0.0,0.4
2022-12-16 07:00:00,2022-12-16 08:00:00,102.0,168.25,14.6,55.1,41.2,35.75,24.78,0.94,9.7,1.82,6.33,1.52,0.08,65.5,0.62,301.75,29.25,19.25,0.0,0.73
2022-12-16 08:00:00,2022-12-16 09:00:00,161.5,250.75,10.43,54.45,37.42,40.23,30.4,1.1,28.7,2.75,8.5,2.38,0.2,54.0,0.47,308.75,96.5,20.68,0.0,1.77
2022-12-16 09:00:00,2022-12-16 10:00:00,184.5,280.5,5.52,41.33,26.45,39.25,28.52,0.99,81.4,2.3,8.83,3.0,0.2,40.25,0.55,307.25,174.25,22.73,0.0,1.67
2022-12-16 10:00:00,2022-12-16 11:00:00,128.5,203.0,2.38,36.15,21.15,33.52,20.8,0.57,92.28,1.18,17.7,2.45,0.12,28.75,0.53,181.25,230.5,23.98,0.0,1.32
2022-12-16 11:00:00,2022-12-16 12:00:00,70.75,118.75,1.8,36.65,20.95,30.82,18.9,0.73,103.9,0.83,26.6,1.73,0.1,28.75,0.65,142.5,256.75,24.4,0.0,1.05
2022-12-16 12:00:00,2022-12-16 13:00:00,64.75,122.25,1.4,31.3,17.8,30.8,18.25,0.59,101.45,0.9,24.23,2.17,0.1,28.0,0.88,121.25,252.0,24.78,0.0,0.98
2022-12-16 13:00:00,2022-12-16 14:00:00,64.75,121.5,1.5,24.15,14.05,27.55,18.1,0.43,97.8,0.62,19.5,1.95,0.05,28.0,1.15,57.5,236.5,25.02,0.0,0.88
2022-12-16 14:00:00,2022-12-16 15:00:00,48.0,94.75,1.75,26.93,15.78,26.8,18.35,0.49,100.45,0.65,17.9,2.4,0.1,27.5,1.22,81.0,157.75,25.12,0.0,1.05
2022-12-16 15:00:00,2022-12-16 16:00:00,50.0,101.0,1.9,24.05,14.33,26.67,17.18,0.53,98.7,0.73,13.25,2.3,0.1,29.0,1.32,84.0,80.5,24.97,0.0,1.0
2022-12-16 16:00:00,2022-12-16 17:00:00,46.5,106.0,2.38,41.25,23.85,24.85,20.35,0.93,93.1,1.0,9.88,3.4,0.17,34.5,1.1,122.5,35.25,24.47,0.0,1.62
2022-12-16 17:00:00,2022-12-16 18:00:00,64.75,145.0,11.45,80.35,52.02,29.62,25.58,1.96,56.15,2.65,14.45,7.32,0.43,39.75,0.8,127.0,13.0,23.78,0.0,3.67
2022-12-16 18:00:00,2022-12-16 19:00:00,109.25,221.75,32.52,99.67,79.5,35.05,27.1,4.16,18.97,5.5,25.5,16.45,1.0,43.25,0.47,94.75,12.0,23.2,0.0,7.53
2022-12-16 19:00:00,2022-12-16 20:00:00,203.25,327.5,75.42,112.4,121.12,36.42,27.72,5.32,1.5,8.68,36.12,24.13,1.5,49.75,0.38,135.25,12.0,22.55,0.0,10.6
2022-12-16 20:00:00,2022-12-16 21:00:00,300.25,451.5,107.78,104.12,142.98,40.83,27.22,6.54,1.05,9.22,47.47,32.33,2.05,53.0,0.3,138.25,12.0,22.23,0.0,13.97
2022-12-16 21:00:00,2022-12-16 22:00:00,287.0,442.75,52.12,69.75,79.47,44.62,22.88,3.78,0.45,10.35,60.85,30.05,1.88,61.75,0.45,311.0,12.0,21.17,0.0,12.85
2022-12-16 22:00:00,2022-12-16 23:00:00,303.0,440.5,16.18,59.97,45.05,43.02,20.43,2.12,1.33,5.58,29.07,14.93,0.95,63.25,0.45,323.25,12.0,20.62,0.0,6.75
2022-12-16 23:00:00,2022-12-17 00:00:00,211.75,300.25,2.3,47.88,27.35,39.97,21.7,0.94,5.53,3.02,16.05,6.35,0.38,64.75,0.55,309.0,12.0,20.18,0.0,3.23
2022-12-17 00:00:00,2022-12-17 01:00:00,146.75,201.0,2.5,51.25,29.3,36.3,22.25,0.04,5.57,2.02,11.43,3.7,0.2,66.0,0.47,298.0,12.0,19.9,0.0,1.78
2022-12-17 01:00:00,2022-12-17 02:00:00,122.75,165.75,1.02,41.45,22.88,33.85,21.88,,10.95,1.65,10.27,2.92,0.15,66.75,0.55,310.25,12.0,19.7,0.0,1.25
2022-12-17 02:00:00,2022-12-17 03:00:00,115.5,146.75,0.78,43.67,23.88,32.75,23.2,,11.38,1.73,9.43,2.48,0.1,67.25,0.5,298.75,12.0,19.58,0.0,1.05
2022-12-17 03:00:00,2022-12-17 04:00:00,114.25,143.25,1.22,40.7,22.62,31.52,23.0,,10.75,1.4,9.28,2.23,0.1,68.25,0.62,312.25,12.0,19.35,0.0,0.92
2022-12-17 04:00:00,2022-12-17 05:00:00,105.5,132.25,0.33,38.1,20.55,12.68,23.48,,11.88,1.22,8.6,1.98,0.1,67.75,0.55,303.0,12.0,19.32,0.0,0.8
2022-12-17 05:00:00,2022-12-17 06:00:00,104.0,127.0,1.52,41.93,23.52,0.2,23.27,,8.6,1.47,8.52,2.15,0.1,69.25,0.65,314.75,12.0,19.02,0.0,0.9
2022-12-17 06:00:00,2022-12-17 07:00:00,116.25,147.75,2.15,45.75,26.07,0.13,26.38,0.0,10.67,1.5,7.8,2.02,0.1,69.0,0.53,300.5,13.25,19.1,0.0,0.62
2022-12-17 07:00:00,2022-12-17 08:00:00,131.67,194.25,15.1,58.67,43.45,0.17,30.02,0.42,10.9,2.1,7.97,2.52,0.12,66.0,0.57,310.0,28.75,19.5,0.0,1.1
2022-12-17 08:00:00,2022-12-17 09:00:00,163.67,270.5,10.9,60.9,41.27,0.1,35.97,0.73,29.7,3.15,9.48,4.18,0.27,55.0,0.43,318.0,92.25,20.93,0.0,2.05
2022-12-17 09:00:00,2022-12-17 10:00:00,164.25,322.25,5.52,43.95,27.87,0.25,29.8,0.52,86.13,2.77,10.97,3.28,0.3,42.25,0.38,256.0,160.5,22.92,0.0,2.62
2022-12-17 10:00:00,2022-12-17 11:00:00,155.25,243.75,2.17,33.2,19.45,0.1,24.15,0.15,91.5,1.45,18.75,3.75,0.18,36.0,0.47,217.75,214.5,23.98,0.0,1.85
2022-12-17 11:00:00,2022-12-17 12:00:00,90.0,149.25,2.2,30.45,18.0,0.1,19.7,0.16,77.83,1.18,27.68,3.88,0.18,32.0,0.8,214.75,252.0,24.5,0.0,1.92
2022-12-17 12:00:00,2022-12-17 13:00:00,60.5,107.25,1.47,22.37,13.07,0.1,18.12,,83.22,0.78,28.07,3.17,0.15,27.25,1.12,108.75,256.5,24.85,0.0,1.5
2022-12-17 13:00:00,2022-12-17 14:00:00,38.0,77.25,1.85,24.43,14.53,0.1,18.58,,89.75,0.62,24.25,2.38,0.1,30.75,1.27,76.75,216.75,25.02,0.0,1.0
2022-12-17 14:00:00,2022-12-17 15:00:00,46.75,99.25,1.93,27.55,16.23,0.3,19.73,0.05,97.45,0.6,18.65,2.17,0.1,31.25,1.1,79.75,154.75,25.08,0.0,0.9
2022-12-17 15:00:00,2022-12-17 16:00:00,54.75,110.5,1.45,27.23,15.65,,20.23,0.03,104.9,1.05,10.57,3.65,0.18,34.25,1.48,115.25,84.5,24.75,0.0,1.75
2022-12-17 16:00:00,2022-12-17 17:00:00,53.75,119.0,1.98,32.92,19.1,0.1,21.62,0.07,102.72,1.02,7.3,3.12,0.2,38.5,1.23,122.0,31.0,24.27,0.0,1.48
2022-12-17 17:00:00,2022-12-17 18:00:00,68.25,138.25,5.28,68.08,40.52,,23.1,1.02,57.27,1.52,9.5,4.75,0.3,43.75,0.72,109.0,13.0,23.57,0.0,2.35
2022-12-17 18:00:00,2022-12-17 19:00:00,130.5,236.25,22.5,104.15,73.7,,29.93,2.63,12.97,4.0,20.38,12.0,0.8,49.0,0.38,70.5,12.0,22.95,0.0,5.62
2022-12-17 19:00:00,2022-12-17 20:00:00,260.0,388.5,49.1,106.15,96.38,0.1,27.6,3.93,1.95,7.4,28.48,18.3,1.15,56.5,0.38,172.5,12.0,22.2,0.0,6.45
2022-12-17 20:00:00,2022-12-17 21:00:00,324.25,462.0,34.9,84.45,73.27,,26.12,2.79,0.83,8.02,29.95,19.57,1.3,63.0,0.5,320.0,12.0,21.27,0.0,8.2
2022-12-17 21:00:00,2022-12-17 22:00:00,344.0,443.25,22.85,70.03,55.85,,26.9,1.93,0.97,5.35,22.78,13.88,0.9,64.75,0.47,324.5,12.0,20.75,0.0,6.25
2022-12-17 22:00:00,2022-12-17 23:00:00,257.5,333.0,5.08,53.45,32.55,0.15,27.85,0.68,8.03,3.25,14.58,8.6,0.5,66.5,0.55,313.5,12.0,20.23,0.0,4.25
2022-12-17 23:00:00,2022-12-18 00:00:00,165.25,226.75,1.78,41.65,23.6,0.4,28.4,0.29,15.08,1.82,9.57,4.17,0.23,67.25,0.55,305.0,12.0,19.9,0.0,2.05
2022-12-18 00:00:00,2022-12-18 01:00:00,130.25,175.75,0.68,38.83,21.2,0.1,26.23,0.21,16.77,1.05,6.08,2.23,0.1,69.5,0.55,302.0,12.0,19.62,0.0,0.93
2022-12-18 01:00:00,2022-12-18 02:00:00,94.5,129.5,0.9,45.12,24.7,0.15,25.85,0.25,11.85,0.9,5.53,1.4,0.08,71.5,0.5,312.5,12.0,19.43,0.0,0.53
2022-12-18 02:00:00,2022-12-18 03:00:00,103.5,140.5,1.12,39.88,22.15,0.3,25.8,0.21,11.07,1.27,5.57,1.25,0.03,72.75,0.6,311.25,12.0,19.18,0.0,0.33
2022-12-18 03:00:00,2022-12-18 04:00:00,100.25,127.75,0.6,34.42,18.77,0.1,26.23,0.13,15.9,0.78,4.7,0.95,,73.25,0.53,314.0,12.0,19.1,0.0,0.3
2022-12-18 04:00:00,2022-12-18 05:00:00,91.0,116.25,0.47,36.35,19.7,0.27,25.53,0.21,14.25,0.88,5.27,1.08,0.08,74.0,0.57,308.0,12.0,18.98,0.0,0.3
2022-12-18 05:00:00,2022-12-18 06:00:00,96.25,126.5,0.48,36.15,19.62,,26.77,0.21,16.57,1.0,5.0,1.08,0.05,74.75,0.7,312.0,12.0,18.68,0.0,0.4
