From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree)
2022-05-21 12:00:00,2022-05-21 13:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-05-21 13:00:00,2022-05-21 14:00:00,74.72,99.39,0.29,2.13,2.41,3.15,0.18,96.71,24.62,2.19,167.98,533.05,800.24,34.61
2022-05-21 14:00:00,2022-05-21 15:00:00,67.51,101.3,0.3,1.79,2.08,3.39,0.18,98.48,23.59,1.64,199.76,457.21,800.24,36.47
2022-05-21 15:00:00,2022-05-21 16:00:00,61.52,144.38,0.28,1.75,2.03,3.03,0.18,98.34,20.36,1.8,224.77,351.82,800.25,36.83
2022-05-21 16:00:00,2022-05-21 17:00:00,58.93,165.06,0.28,1.78,2.06,2.92,0.19,102.73,26.22,2.76,188.76,228.53,800.24,35.63
2022-05-21 17:00:00,2022-05-21 18:00:00,31.88,160.89,0.28,2.19,2.46,3.36,0.24,107.13,31.63,2.66,223.03,35.23,800.24,33.75
2022-05-21 18:00:00,2022-05-21 19:00:00,34.56,169.0,0.29,4.58,4.87,3.59,0.32,59.12,42.68,0.97,225.8,2.09,800.24,31.75
2022-05-21 19:00:00,2022-05-21 20:00:00,22.1,167.43,0.3,3.55,3.84,3.43,0.34,57.29,51.44,0.75,142.68,1.19,800.24,28.65
2022-05-21 20:00:00,2022-05-21 21:00:00,39.61,166.72,0.31,3.69,4.0,3.58,0.37,63.74,48.88,2.36,186.48,0.61,800.24,28.26
2022-05-21 21:00:00,2022-05-21 22:00:00,67.05,198.34,0.29,3.13,3.42,3.48,0.35,73.52,40.73,2.73,136.12,0.61,800.26,28.55
2022-05-21 22:00:00,2022-05-21 23:00:00,82.53,196.16,0.29,3.41,3.69,3.36,0.27,73.99,44.41,2.87,119.74,0.61,800.24,26.03
2022-05-21 23:00:00,2022-05-22 00:00:00,80.03,132.38,0.29,2.6,2.9,2.98,0.23,55.91,43.27,1.03,184.18,0.61,800.24,25.9
2022-05-22 00:00:00,2022-05-22 01:00:00,52.47,109.07,0.29,2.41,2.7,2.85,0.22,45.07,50.98,0.93,155.68,0.61,800.24,24.47
2022-05-22 01:00:00,2022-05-22 02:00:00,40.98,93.06,0.29,2.15,2.44,2.88,0.2,39.43,55.68,0.72,184.29,0.61,800.24,23.09
2022-05-22 02:00:00,2022-05-22 03:00:00,29.43,88.42,0.29,2.3,2.58,2.97,0.2,31.56,58.45,0.63,168.19,0.6,800.24,22.32
2022-05-22 03:00:00,2022-05-22 04:00:00,35.55,98.3,0.3,2.99,3.28,2.96,0.24,25.86,61.89,0.88,189.57,0.6,800.24,21.96
2022-05-22 04:00:00,2022-05-22 05:00:00,36.47,104.01,0.29,3.24,3.53,3.02,0.29,22.57,62.74,0.5,173.59,0.6,800.24,21.66
2022-05-22 05:00:00,2022-05-22 06:00:00,42.87,122.78,0.29,3.04,3.33,3.27,0.3,23.06,62.18,0.65,149.74,3.58,800.24,21.35
2022-05-22 06:00:00,2022-05-22 07:00:00,50.03,122.22,0.3,2.81,3.1,3.31,0.35,29.4,55.79,0.36,159.42,26.38,800.24,22.62
2022-05-22 07:00:00,2022-05-22 08:00:00,48.33,112.48,0.32,2.4,2.72,3.14,0.33,31.9,47.02,0.73,213.66,153.2,800.24,25.78
2022-05-22 08:00:00,2022-05-22 09:00:00,55.2,133.65,0.33,2.57,2.9,3.25,0.39,56.49,37.98,0.97,242.19,332.67,800.24,28.89
2022-05-22 09:00:00,2022-05-22 10:00:00,58.84,133.94,0.3,2.09,2.4,3.32,0.34,83.48,32.67,2.32,157.81,449.1,800.24,30.48
2022-05-22 10:00:00,2022-05-22 11:00:00,62.06,124.47,0.29,1.85,2.14,3.11,0.27,89.14,31.34,2.59,196.59,536.21,800.24,31.41
2022-05-22 11:00:00,2022-05-22 12:00:00,41.71,116.81,0.29,2.04,2.33,3.03,0.25,93.45,30.05,3.27,177.92,586.7,800.24,32.2
2022-05-22 12:00:00,2022-05-22 13:00:00,29.01,121.1,0.29,2.04,2.32,3.01,0.24,92.61,33.24,3.73,188.36,594.06,800.24,32.7
2022-05-22 13:00:00,2022-05-22 14:00:00,29.73,123.59,0.28,1.98,2.26,3.12,0.24,98.78,30.27,4.37,224.79,571.7,800.24,33.13
2022-05-22 14:00:00,2022-05-22 15:00:00,40.23,116.17,0.29,2.15,2.44,3.3,0.24,114.38,28.58,4.52,226.73,478.46,800.24,33.33
2022-05-22 15:00:00,2022-05-22 16:00:00,55.62,125.54,0.3,2.75,3.04,3.16,0.23,134.25,26.91,4.95,57.99,343.24,800.24,31.7
2022-05-22 16:00:00,2022-05-22 17:00:00,54.74,84.79,0.29,2.97,3.27,3.0,0.24,130.73,25.1,3.53,112.11,140.43,800.24,31.82
2022-05-22 17:00:00,2022-05-22 18:00:00,53.3,96.87,0.28,2.9,3.18,2.68,0.24,137.95,26.65,3.5,90.97,85.13,800.25,29.93
2022-05-22 18:00:00,2022-05-22 19:00:00,31.86,78.81,0.29,2.97,3.25,3.03,0.28,113.91,30.76,1.67,220.91,41.66,800.24,29.41
2022-05-22 19:00:00,2022-05-22 20:00:00,11.9,85.15,0.27,3.41,3.69,3.1,0.35,71.7,40.6,1.44,179.84,1.44,800.24,26.71
2022-05-22 20:00:00,2022-05-22 21:00:00,15.87,93.23,0.29,3.7,3.99,3.07,0.41,67.9,41.19,2.33,225.48,0.61,800.24,26.64
2022-05-22 21:00:00,2022-05-22 22:00:00,29.93,115.84,0.28,2.9,3.18,3.03,0.28,126.78,33.84,4.56,64.73,0.61,800.24,27.4
2022-05-22 22:00:00,2022-05-22 23:00:00,32.99,60.75,0.28,2.13,2.4,2.94,0.22,86.17,35.05,2.5,110.61,0.61,800.24,26.72
2022-05-22 23:00:00,2022-05-23 00:00:00,26.86,41.39,0.29,1.99,2.27,2.93,0.24,25.23,48.77,1.14,194.83,0.6,800.24,23.37
2022-05-23 00:00:00,2022-05-23 01:00:00,11.26,38.47,0.28,2.02,2.3,2.79,0.23,34.51,53.25,1.46,206.24,0.6,800.24,22.69
2022-05-23 01:00:00,2022-05-23 02:00:00,5.54,44.45,0.29,2.29,2.58,2.81,0.23,32.96,52.16,1.45,115.58,0.61,800.24,23.06
2022-05-23 02:00:00,2022-05-23 03:00:00,7.67,53.58,0.28,2.12,2.4,2.87,0.24,93.85,64.11,6.26,279.16,3.33,858.52,21.09
2022-05-23 03:00:00,2022-05-23 04:00:00,0.25,37.16,0.28,2.27,2.54,3.16,0.21,109.58,73.94,3.47,127.64,8.91,807.26,19.39
2022-05-23 04:00:00,2022-05-23 05:00:00,,20.98,0.28,2.32,2.6,2.79,0.2,99.73,78.55,9.33,83.71,9.04,813.82,18.4
2022-05-23 05:00:00,2022-05-23 06:00:00,,,0.29,2.08,1.78,3.22,0.15,77.65,72.28,4.59,199.63,5.8,803.38,19.2
2022-05-23 06:00:00,2022-05-23 07:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-05-23 07:00:00,2022-05-23 08:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-05-23 08:00:00,2022-05-23 09:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-05-23 09:00:00,2022-05-23 10:00:00,,,0.29,0.01,0.02,6.13,0.27,33.0,59.89,0.46,29.39,41.81,800.24,21.08
2022-05-23 10:00:00,2022-05-23 11:00:00,,,0.28,1.72,1.94,4.21,0.54,20.57,61.61,2.54,184.26,214.34,800.24,21.7
2022-05-23 11:00:00,2022-05-23 12:00:00,,,0.29,1.89,2.17,3.96,0.42,28.14,55.31,3.12,171.98,342.78,800.24,23.8
2022-05-23 12:00:00,2022-05-23 13:00:00,,,0.29,2.06,2.35,3.38,0.39,45.3,50.37,3.62,152.75,395.61,800.24,24.89
2022-05-23 13:00:00,2022-05-23 14:00:00,1.04,,0.29,2.15,2.43,3.28,0.38,49.98,44.9,2.73,198.34,494.86,800.24,26.9
2022-05-23 14:00:00,2022-05-23 15:00:00,2.94,,0.29,1.98,2.27,2.96,0.36,57.37,42.13,3.03,201.42,451.0,800.24,27.65
2022-05-23 15:00:00,2022-05-23 16:00:00,13.61,,0.29,2.21,2.5,2.8,0.34,50.92,38.32,3.19,162.36,404.92,800.24,28.41
2022-05-23 16:00:00,2022-05-23 17:00:00,9.67,,0.28,2.19,2.46,2.72,0.34,63.69,40.99,2.89,180.67,288.26,800.24,28.45
2022-05-23 17:00:00,2022-05-23 18:00:00,,3.74,0.28,2.54,2.82,2.91,0.35,54.09,48.84,2.55,161.36,107.33,800.25,27.33
2022-05-23 18:00:00,2022-05-23 19:00:00,0.43,16.71,0.28,2.19,2.46,3.21,0.36,41.86,57.49,1.19,195.12,8.35,800.24,25.63
2022-05-23 19:00:00,2022-05-23 20:00:00,0.68,23.28,0.28,2.51,2.79,3.02,0.42,26.34,67.75,0.92,129.96,0.79,800.24,23.51
2022-05-23 20:00:00,2022-05-23 21:00:00,,33.93,0.29,3.11,3.39,3.21,0.5,13.96,76.91,1.19,186.15,0.6,800.24,21.48
2022-05-23 21:00:00,2022-05-23 22:00:00,0.29,39.95,0.29,2.86,3.15,6.95,0.49,15.13,77.09,1.3,158.62,0.6,800.24,21.24
2022-05-23 22:00:00,2022-05-23 23:00:00,3.38,43.74,0.3,2.63,2.94,3.81,0.47,24.94,78.24,3.11,279.68,0.61,800.24,21.52
2022-05-23 23:00:00,2022-05-24 00:00:00,19.41,50.14,0.29,2.44,2.74,3.07,0.42,53.59,70.03,5.0,285.07,0.6,800.24,21.56
2022-05-24 00:00:00,2022-05-24 01:00:00,31.3,38.59,0.28,2.04,2.33,2.71,0.34,49.69,68.64,2.78,268.19,0.6,800.24,20.93
2022-05-24 01:00:00,2022-05-24 02:00:00,15.66,39.55,0.28,1.98,2.26,2.86,0.32,28.18,71.72,1.49,251.89,0.6,800.24,20.53
2022-05-24 02:00:00,2022-05-24 03:00:00,7.98,37.63,0.28,2.03,2.31,2.82,0.32,19.08,74.25,1.46,205.45,0.6,800.24,20.04
2022-05-24 03:00:00,2022-05-24 04:00:00,9.0,30.7,0.28,1.98,2.26,2.93,0.31,29.7,73.34,2.02,119.14,0.6,800.24,20.06
2022-05-24 04:00:00,2022-05-24 05:00:00,9.31,33.44,0.28,1.84,2.12,2.76,0.31,21.59,76.3,1.54,217.73,0.6,800.24,19.62
2022-05-24 05:00:00,2022-05-24 06:00:00,13.23,42.37,0.28,1.81,2.08,3.87,0.33,20.22,82.71,1.24,268.98,6.86,800.24,19.09
2022-05-24 06:00:00,2022-05-24 07:00:00,15.94,47.61,0.29,2.25,2.54,3.41,0.35,24.59,85.76,1.47,263.48,26.91,800.24,18.84
2022-05-24 07:00:00,2022-05-24 08:00:00,18.21,40.81,0.3,2.63,2.93,3.04,0.37,11.62,89.28,1.99,245.69,42.06,800.24,18.71
2022-05-24 08:00:00,2022-05-24 09:00:00,19.2,39.94,0.3,2.43,2.73,3.3,0.39,18.64,91.06,1.13,85.07,79.61,800.24,19.1
2022-05-24 09:00:00,2022-05-24 10:00:00,15.51,38.32,0.3,2.6,2.9,3.3,0.41,16.98,88.91,0.97,115.76,80.62,800.24,19.82
2022-05-24 10:00:00,2022-05-24 11:00:00,15.67,38.36,0.32,3.48,3.81,3.35,0.4,21.75,86.34,0.89,134.53,109.39,800.24,20.07
2022-05-24 11:00:00,2022-05-24 12:00:00,3.06,37.35,0.35,4.86,5.21,3.62,0.46,14.12,81.72,2.0,241.53,226.74,800.24,21.8
2022-05-24 12:00:00,2022-05-24 13:00:00,5.42,37.39,0.35,3.67,4.02,3.45,0.4,29.09,63.53,1.68,198.85,509.09,800.24,25.44
2022-05-24 13:00:00,2022-05-24 14:00:00,12.7,24.66,0.3,2.4,2.7,3.12,0.25,36.21,50.48,4.12,135.98,478.3,800.24,26.5
2022-05-24 14:00:00,2022-05-24 15:00:00,13.25,21.01,0.29,2.34,2.64,2.92,0.2,39.77,48.21,4.45,145.36,541.74,800.24,27.61
2022-05-24 15:00:00,2022-05-24 16:00:00,13.9,27.87,0.3,2.25,2.55,2.9,0.18,41.69,48.46,4.04,151.13,350.51,800.24,27.71
2022-05-24 16:00:00,2022-05-24 17:00:00,21.96,29.16,0.28,2.42,2.7,2.72,0.18,50.84,49.84,2.99,147.34,63.59,800.24,26.77
2022-05-24 17:00:00,2022-05-24 18:00:00,20.48,37.46,0.28,2.53,2.81,2.78,0.21,38.01,58.2,1.77,212.48,35.23,800.24,25.77
2022-05-24 18:00:00,2022-05-24 19:00:00,6.85,50.2,0.29,3.18,3.47,2.91,0.3,21.33,74.68,3.06,273.16,22.15,800.24,23.27
2022-05-24 19:00:00,2022-05-24 20:00:00,10.0,50.7,0.28,2.49,2.77,2.96,0.27,23.97,79.05,3.61,278.45,1.1,800.24,20.74
2022-05-24 20:00:00,2022-05-24 21:00:00,23.27,33.79,0.28,2.62,2.9,2.9,0.25,29.85,73.59,2.25,208.87,0.61,800.24,20.41
2022-05-24 21:00:00,2022-05-24 22:00:00,16.09,32.42,0.28,2.53,2.81,3.18,0.27,23.92,72.97,2.79,268.23,0.6,800.24,20.21
2022-05-24 22:00:00,2022-05-24 23:00:00,14.55,33.86,0.28,2.21,2.49,3.7,0.23,33.93,75.94,2.25,283.49,0.61,800.24,19.51
2022-05-24 23:00:00,2022-05-25 00:00:00,12.46,32.55,0.28,2.44,2.72,2.88,0.22,18.86,77.2,1.57,260.02,0.61,800.24,19.41
2022-05-25 00:00:00,2022-05-25 01:00:00,11.17,32.93,0.28,2.37,2.65,2.79,0.21,17.05,78.66,1.12,224.31,0.61,800.24,19.33
2022-05-25 01:00:00,2022-05-25 02:00:00,17.3,31.43,0.28,2.1,2.38,2.9,0.21,15.39,79.2,0.9,217.88,0.6,800.24,19.26
2022-05-25 02:00:00,2022-05-25 03:00:00,7.2,23.51,0.28,1.82,2.11,2.91,0.19,13.64,80.06,0.59,188.21,0.61,800.24,18.96
2022-05-25 03:00:00,2022-05-25 04:00:00,8.25,19.88,0.28,1.73,2.02,2.76,0.19,10.94,83.64,0.48,185.75,0.64,800.24,18.12
2022-05-25 04:00:00,2022-05-25 05:00:00,9.96,18.32,0.29,1.81,2.1,2.8,0.2,10.14,85.92,0.52,188.66,0.66,800.24,17.5
2022-05-25 05:00:00,2022-05-25 06:00:00,15.68,26.49,0.3,1.97,2.26,3.15,0.21,7.88,86.01,0.71,186.52,4.81,800.24,17.4
2022-05-25 06:00:00,2022-05-25 07:00:00,10.01,32.04,0.32,2.18,2.5,3.31,0.28,8.98,74.8,0.65,211.0,24.25,800.24,20.07
2022-05-25 07:00:00,2022-05-25 08:00:00,0.14,33.72,0.35,2.27,2.62,3.25,0.26,14.25,65.01,1.67,262.63,155.38,800.25,21.97
2022-05-25 08:00:00,2022-05-25 09:00:00,6.41,38.96,0.35,2.35,2.71,3.44,0.27,25.38,56.76,1.44,247.4,379.97,800.24,24.61
2022-05-25 09:00:00,2022-05-25 10:00:00,13.59,39.48,0.32,2.1,2.42,3.24,0.27,34.98,48.89,2.5,236.42,497.25,800.24,27.1
2022-05-25 10:00:00,2022-05-25 11:00:00,20.73,36.06,0.3,1.81,2.11,3.07,0.23,49.0,41.33,3.65,198.16,585.94,800.24,28.27
2022-05-25 11:00:00,2022-05-25 12:00:00,26.7,41.48,0.29,1.8,2.09,2.92,0.21,61.32,38.48,2.56,199.24,628.44,800.24,29.55
2022-05-25 12:00:00,2022-05-25 13:00:00,29.09,46.39,0.28,1.68,1.96,2.84,0.2,70.81,35.58,2.42,170.72,637.53,800.24,30.53
2022-05-25 13:00:00,2022-05-25 14:00:00,42.96,48.09,0.29,1.64,1.93,2.74,0.19,65.17,33.2,2.81,193.66,608.32,800.24,31.47
2022-05-25 14:00:00,2022-05-25 15:00:00,26.12,43.55,0.28,1.82,2.1,2.8,0.21,54.04,37.86,3.27,236.37,555.07,800.24,31.41
2022-05-25 15:00:00,2022-05-25 16:00:00,7.56,51.43,0.28,2.1,2.38,2.72,0.23,54.46,39.87,3.31,242.3,445.36,800.24,31.44
2022-05-25 16:00:00,2022-05-25 17:00:00,14.46,58.93,0.28,2.05,2.33,2.87,0.23,55.4,40.73,3.49,227.07,274.87,800.24,30.82
2022-05-25 17:00:00,2022-05-25 18:00:00,25.28,65.2,0.27,2.17,2.44,2.96,0.24,62.27,40.03,3.44,217.65,206.72,800.24,30.3
2022-05-25 18:00:00,2022-05-25 19:00:00,20.68,69.11,0.27,2.63,2.9,3.11,0.25,81.57,50.36,2.71,120.1,70.9,800.24,28.04
2022-05-25 19:00:00,2022-05-25 20:00:00,21.52,73.75,0.28,2.78,3.06,3.22,0.3,63.16,60.16,2.41,89.32,6.18,800.25,25.82
2022-05-25 20:00:00,2022-05-25 21:00:00,22.14,76.92,0.28,2.89,3.17,3.23,0.35,55.18,64.88,1.53,100.84,0.61,800.24,24.79
2022-05-25 21:00:00,2022-05-25 22:00:00,18.16,79.63,0.29,2.75,3.03,3.44,0.39,38.14,69.7,1.01,135.01,0.6,800.24,23.82
2022-05-25 22:00:00,2022-05-25 23:00:00,11.6,70.08,0.28,2.3,2.58,3.45,0.37,27.23,73.61,0.55,144.13,0.6,800.24,23.01
2022-05-25 23:00:00,2022-05-26 00:00:00,15.39,64.75,0.28,2.04,2.33,3.19,0.33,23.45,76.16,0.39,158.45,0.6,800.24,22.39
2022-05-26 00:00:00,2022-05-26 01:00:00,12.17,61.63,0.29,1.96,2.25,3.12,0.31,21.75,78.39,0.45,160.98,0.6,800.24,21.8
2022-05-26 01:00:00,2022-05-26 02:00:00,14.77,61.92,0.28,1.91,2.19,3.04,0.3,20.87,80.03,0.35,159.2,0.6,800.24,21.42
2022-05-26 02:00:00,2022-05-26 03:00:00,22.55,57.53,0.28,1.86,2.14,3.17,0.29,18.88,81.8,0.31,177.13,0.6,800.24,20.92
2022-05-26 03:00:00,2022-05-26 04:00:00,25.12,56.96,0.29,1.74,2.03,3.09,0.28,17.88,82.13,0.42,145.01,0.6,800.24,20.69
2022-05-26 04:00:00,2022-05-26 05:00:00,21.64,51.24,0.29,1.72,2.01,3.06,0.28,15.88,83.74,0.33,168.17,0.6,800.24,20.28
2022-05-26 05:00:00,2022-05-26 06:00:00,29.47,52.97,0.3,2.03,2.33,3.44,0.31,13.27,84.53,0.33,163.39,4.99,800.24,20.14
2022-05-26 06:00:00,2022-05-26 07:00:00,26.25,59.86,0.33,2.55,2.88,3.62,0.35,12.05,80.18,0.31,196.63,51.71,800.24,21.46
2022-05-26 07:00:00,2022-05-26 08:00:00,17.11,76.36,0.4,3.53,3.93,3.54,0.4,16.42,69.88,0.78,246.96,205.73,800.24,24.44
2022-05-26 08:00:00,2022-05-26 09:00:00,28.31,72.45,0.35,3.24,3.59,3.52,0.41,47.21,53.39,0.67,199.48,355.17,800.24,28.2
2022-05-26 09:00:00,2022-05-26 10:00:00,43.58,88.23,0.31,2.71,3.02,3.44,0.37,59.4,47.27,2.47,168.55,477.47,800.24,29.21
2022-05-26 10:00:00,2022-05-26 11:00:00,53.23,102.74,0.29,2.3,2.59,3.31,0.33,78.03,42.52,2.25,187.16,513.26,800.24,29.79
2022-05-26 11:00:00,2022-05-26 12:00:00,40.41,80.78,0.29,2.16,2.45,3.42,0.3,80.0,42.68,2.0,138.19,458.96,800.24,30.42
2022-05-26 12:00:00,2022-05-26 13:00:00,36.31,76.77,0.29,2.26,2.54,3.22,0.3,79.53,39.77,2.25,141.56,580.0,800.24,31.19
2022-05-26 13:00:00,2022-05-26 14:00:00,28.55,71.71,0.27,2.17,2.44,3.59,0.3,65.22,42.29,2.72,226.03,381.82,800.24,31.21
2022-05-26 14:00:00,2022-05-26 15:00:00,29.06,75.77,0.28,2.33,2.6,3.95,0.31,79.0,46.48,2.37,197.42,101.75,800.24,29.87
2022-05-26 15:00:00,2022-05-26 16:00:00,11.26,85.72,0.32,2.64,2.95,4.07,0.32,96.42,64.65,1.61,149.39,148.52,800.24,27.27
2022-05-26 16:00:00,2022-05-26 17:00:00,3.1,79.29,0.29,2.75,3.02,4.31,0.34,58.23,57.84,1.03,139.88,214.3,800.24,29.39
2022-05-26 17:00:00,2022-05-26 18:00:00,35.12,65.75,0.28,2.92,3.2,3.82,0.34,94.82,46.22,2.64,288.65,152.19,800.24,30.43
2022-05-26 18:00:00,2022-05-26 19:00:00,55.33,105.03,0.27,3.42,3.7,3.83,0.4,94.02,50.12,2.06,300.37,41.64,800.24,29.18
2022-05-26 19:00:00,2022-05-26 20:00:00,44.72,126.65,0.28,3.91,4.19,3.86,0.49,52.38,63.77,0.61,178.84,4.21,800.25,26.55
2022-05-26 20:00:00,2022-05-26 21:00:00,30.63,110.48,0.28,3.58,3.87,3.77,0.54,30.51,72.11,0.39,152.96,2.68,800.24,24.54
2022-05-26 21:00:00,2022-05-26 22:00:00,29.37,100.41,0.29,4.14,4.43,3.83,0.64,24.72,74.59,0.42,140.1,2.53,800.24,24.03
2022-05-26 22:00:00,2022-05-26 23:00:00,27.58,99.11,0.29,3.66,3.95,3.91,0.63,23.1,76.5,0.44,142.31,2.4,800.24,23.4
2022-05-26 23:00:00,2022-05-27 00:00:00,36.38,100.12,0.29,3.47,3.76,3.72,0.62,19.75,78.89,0.42,158.01,2.31,800.24,22.92
2022-05-27 00:00:00,2022-05-27 01:00:00,30.15,87.37,0.29,2.84,3.13,3.59,0.54,17.82,79.96,0.38,142.33,2.22,800.24,22.5
2022-05-27 01:00:00,2022-05-27 02:00:00,40.25,76.26,0.29,3.62,3.91,3.69,0.46,16.38,79.64,0.39,129.99,2.13,800.24,22.33
2022-05-27 02:00:00,2022-05-27 03:00:00,33.44,73.38,0.28,2.39,2.67,3.51,0.39,18.48,80.94,0.44,179.86,1.99,800.24,21.74
2022-05-27 03:00:00,2022-05-27 04:00:00,31.5,68.38,0.29,2.13,2.42,3.61,0.35,18.19,81.19,0.95,138.76,1.84,800.24,21.64
2022-05-27 04:00:00,2022-05-27 05:00:00,34.16,65.97,0.28,2.15,2.43,3.65,0.35,16.22,83.55,1.05,232.97,1.55,800.24,21.1
2022-05-27 05:00:00,2022-05-27 06:00:00,32.32,68.41,0.29,2.38,2.67,4.04,0.39,14.78,84.06,1.03,122.36,6.07,800.24,21.12
2022-05-27 06:00:00,2022-05-27 07:00:00,32.49,86.26,0.32,2.89,3.21,4.59,0.54,12.27,79.78,0.64,196.71,54.37,800.24,22.48
2022-05-27 07:00:00,2022-05-27 08:00:00,19.06,96.65,0.35,3.2,3.54,4.04,0.52,16.83,69.76,1.12,158.2,188.46,800.24,25.38
2022-05-27 08:00:00,2022-05-27 09:00:00,32.2,112.08,0.37,4.02,4.39,4.12,0.57,28.47,62.59,1.42,239.29,327.12,800.24,27.42
2022-05-27 09:00:00,2022-05-27 10:00:00,36.16,103.97,0.3,3.42,3.72,3.99,0.53,52.71,53.17,1.43,219.96,438.18,800.25,29.74
2022-05-27 10:00:00,2022-05-27 11:00:00,47.41,92.82,0.29,2.83,3.12,3.89,0.44,59.45,49.91,2.04,220.37,530.75,800.24,30.43
2022-05-27 11:00:00,2022-05-27 12:00:00,47.15,76.27,0.28,2.54,2.82,4.23,0.4,63.76,46.81,1.87,204.0,582.75,800.24,31.5
2022-05-27 12:00:00,2022-05-27 13:00:00,33.88,74.6,0.28,2.54,2.82,4.1,0.38,85.03,41.37,2.48,238.06,598.68,800.24,32.45
2022-05-27 13:00:00,2022-05-27 14:00:00,43.54,81.34,0.28,2.5,2.78,3.75,0.37,97.99,38.63,2.7,233.1,509.69,800.24,33.38
2022-05-27 14:00:00,2022-05-27 15:00:00,37.41,96.59,0.29,2.54,2.82,4.0,0.4,56.16,41.63,3.33,236.61,465.44,800.24,32.87
2022-05-27 15:00:00,2022-05-27 16:00:00,41.88,94.7,0.28,2.71,2.99,4.14,0.41,52.71,41.92,3.96,225.17,355.88,800.24,32.47
2022-05-27 16:00:00,2022-05-27 17:00:00,51.77,105.63,0.27,2.74,3.01,4.21,0.42,60.92,41.56,3.75,246.41,214.63,800.24,32.01
2022-05-27 17:00:00,2022-05-27 18:00:00,62.34,119.24,0.27,3.01,3.29,4.46,0.46,105.75,44.2,2.62,252.31,96.82,800.24,31.54
2022-05-27 18:00:00,2022-05-27 19:00:00,56.76,138.19,0.27,3.98,4.25,4.72,0.53,111.0,51.3,1.58,195.78,25.46,800.24,30.53
2022-05-27 19:00:00,2022-05-27 20:00:00,55.27,155.96,0.28,3.46,3.74,4.49,0.58,85.79,58.86,0.36,176.13,1.47,800.24,28.91
2022-05-27 20:00:00,2022-05-27 21:00:00,64.84,155.64,0.28,3.24,3.52,4.62,0.7,64.98,64.26,0.86,125.62,0.62,800.24,27.62
2022-05-27 21:00:00,2022-05-27 22:00:00,56.24,165.25,0.28,3.12,3.41,4.83,0.76,59.68,66.46,0.58,139.71,0.61,800.24,26.93
2022-05-27 22:00:00,2022-05-27 23:00:00,55.42,156.77,0.28,2.98,3.26,4.93,0.78,38.79,68.5,0.64,168.37,0.61,800.24,25.88
2022-05-27 23:00:00,2022-05-28 00:00:00,66.88,129.57,0.29,2.63,2.93,4.22,0.69,33.25,70.31,1.12,164.99,0.61,800.26,25.08
2022-05-28 00:00:00,2022-05-28 01:00:00,70.36,129.01,0.29,2.83,3.12,3.98,0.65,29.88,72.48,0.57,173.47,0.61,800.25,24.58
2022-05-28 01:00:00,2022-05-28 02:00:00,56.17,108.77,0.29,2.59,2.88,4.1,0.56,33.41,72.8,1.03,125.99,0.61,800.24,24.61
2022-05-28 02:00:00,2022-05-28 03:00:00,54.88,102.18,0.29,2.54,2.83,3.83,0.52,27.86,73.58,0.92,144.81,0.6,800.24,23.99
2022-05-28 03:00:00,2022-05-28 04:00:00,50.8,96.51,0.29,2.13,2.41,3.74,0.46,23.96,75.58,0.41,172.38,0.61,800.24,23.25
2022-05-28 04:00:00,2022-05-28 05:00:00,39.83,72.72,0.29,1.9,2.19,3.79,0.42,24.57,75.59,0.49,140.02,0.61,800.24,23.29
2022-05-28 05:00:00,2022-05-28 06:00:00,44.59,83.12,0.29,1.92,2.21,4.11,0.43,27.2,76.8,0.44,162.46,7.33,800.24,23.23
2022-05-28 06:00:00,2022-05-28 07:00:00,62.87,126.73,0.3,2.39,2.68,4.87,0.51,20.34,77.12,0.63,198.76,41.63,800.24,23.73
2022-05-28 07:00:00,2022-05-28 08:00:00,87.66,173.83,0.32,3.04,3.35,4.72,0.69,28.41,70.2,0.57,113.0,118.28,800.24,25.89
2022-05-28 08:00:00,2022-05-28 09:00:00,74.62,148.83,0.3,2.74,3.04,4.71,0.67,43.37,58.89,1.27,188.52,256.22,800.24,28.8
2022-05-28 09:00:00,2022-05-28 10:00:00,85.63,160.22,0.29,3.18,3.46,4.64,0.66,78.83,50.31,0.71,152.53,324.66,800.24,31.03
2022-05-28 10:00:00,2022-05-28 11:00:00,87.64,140.13,0.29,2.84,3.12,4.7,0.61,90.22,47.08,2.39,142.09,432.67,800.24,31.52
2022-05-28 11:00:00,2022-05-28 12:00:00,77.51,143.87,0.29,2.92,3.21,5.19,0.59,78.03,47.7,3.47,195.94,439.72,800.24,31.98
2022-05-28 12:00:00,2022-05-28 13:00:00,76.32,165.65,0.28,3.56,3.84,5.0,0.59,85.54,44.35,3.06,200.02,519.22,800.24,32.92
2022-05-28 13:00:00,2022-05-28 14:00:00,63.64,147.22,0.28,2.86,3.13,4.73,0.55,80.1,42.5,2.67,201.98,496.42,800.24,33.78
2022-05-28 14:00:00,2022-05-28 15:00:00,67.27,145.46,0.27,3.12,3.39,5.02,0.55,114.04,42.16,2.35,169.92,403.96,800.24,34.3
