From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-12-01 20:00:00,2022-12-01 21:00:00,107.0,173.0,2.38,33.22,19.57,14.05,7.4,1.35,93.12,2.27,69.42,2.02,6.15,45.75,0.77,89.75,16.0,21.6,0.0,2.32
2022-12-01 21:00:00,2022-12-01 22:00:00,105.5,164.5,2.35,24.5,14.93,14.0,7.4,1.25,106.85,1.6,67.62,0.93,2.7,45.75,0.55,86.25,16.0,21.35,0.0,0.88
2022-12-01 22:00:00,2022-12-01 23:00:00,101.5,150.25,2.35,25.8,15.62,14.05,6.68,1.2,111.05,1.65,71.03,1.15,3.42,45.5,0.8,89.5,16.0,21.18,0.0,1.15
2022-12-01 23:00:00,2022-12-02 00:00:00,99.75,145.75,2.35,16.72,10.83,14.0,16.57,1.04,142.2,1.18,69.55,0.45,1.18,42.75,0.98,90.25,16.0,21.35,0.0,0.35
2022-12-02 00:00:00,2022-12-02 01:00:00,104.25,146.75,2.35,18.07,11.5,13.97,10.68,1.04,135.25,1.15,70.75,0.4,0.85,45.0,0.75,86.25,16.0,20.97,0.0,0.23
2022-12-02 01:00:00,2022-12-02 02:00:00,113.5,160.75,2.25,19.68,12.27,14.03,7.08,1.01,122.1,1.18,71.12,0.45,0.9,50.75,0.5,76.5,16.0,20.25,0.0,0.25
2022-12-02 02:00:00,2022-12-02 03:00:00,102.5,148.0,2.17,16.18,10.35,13.97,6.4,0.93,123.12,1.0,70.28,0.38,0.78,52.5,0.4,74.25,16.0,20.0,0.0,0.22
2022-12-02 03:00:00,2022-12-02 04:00:00,92.75,133.25,2.25,14.7,9.62,13.97,4.8,0.9,123.83,0.9,68.75,0.3,0.47,56.75,0.25,66.5,16.0,19.57,0.0,0.1
2022-12-02 04:00:00,2022-12-02 05:00:00,94.75,130.5,2.3,15.55,10.15,13.95,3.65,0.92,129.43,1.07,67.55,0.3,0.47,54.0,0.57,81.5,16.0,19.8,0.0,0.1
2022-12-02 05:00:00,2022-12-02 06:00:00,96.5,133.25,2.38,14.3,9.53,13.95,3.45,0.89,133.68,0.92,66.83,0.3,0.4,52.25,0.73,85.75,16.0,19.92,0.0,0.1
2022-12-02 06:00:00,2022-12-02 07:00:00,96.25,134.25,2.25,21.75,13.4,13.97,3.2,0.94,117.75,1.0,66.42,0.3,0.43,52.75,0.55,82.0,20.5,19.88,0.0,0.1
2022-12-02 07:00:00,2022-12-02 08:00:00,102.25,151.5,2.7,35.2,20.92,13.97,3.23,1.06,94.43,1.32,67.1,0.57,1.48,51.0,0.5,83.25,58.0,20.25,0.0,0.45
2022-12-02 08:00:00,2022-12-02 09:00:00,103.75,164.25,2.62,16.48,10.93,14.03,4.43,0.9,140.8,1.1,67.7,0.43,1.03,39.5,1.07,88.25,152.25,21.73,0.0,0.28
2022-12-02 09:00:00,2022-12-02 10:00:00,90.5,135.0,2.45,14.5,9.73,14.03,4.65,0.71,151.15,0.9,55.67,0.27,0.38,34.0,0.82,83.75,241.25,22.85,0.0,0.1
2022-12-02 10:00:00,2022-12-02 11:00:00,91.25,131.75,2.75,14.87,10.15,13.95,5.1,0.67,148.85,0.95,11.43,0.15,0.3,31.0,0.8,92.25,308.25,23.55,0.0,0.08
2022-12-02 11:00:00,2022-12-02 12:00:00,82.5,131.25,2.5,14.2,9.57,13.97,5.0,0.79,154.65,0.85,16.47,0.18,0.35,27.25,0.65,122.75,339.25,24.35,0.0,0.1
2022-12-02 12:00:00,2022-12-02 13:00:00,75.5,119.0,2.45,16.7,10.9,13.88,5.52,0.82,156.55,0.9,10.93,0.17,0.48,25.5,0.72,273.0,326.75,24.68,0.0,0.12
2022-12-02 13:00:00,2022-12-02 14:00:00,70.25,119.0,2.45,15.0,9.98,13.97,5.35,0.83,154.68,0.97,23.73,0.38,1.15,23.0,0.57,253.75,284.5,25.3,0.0,0.38
2022-12-02 14:00:00,2022-12-02 15:00:00,65.25,115.5,2.32,14.97,9.88,14.0,5.15,0.79,157.05,0.93,23.35,0.38,1.2,22.25,0.47,147.75,202.5,25.52,0.0,0.38
2022-12-02 15:00:00,2022-12-02 16:00:00,64.0,110.0,2.47,18.55,11.88,14.08,4.73,0.93,150.12,1.08,11.93,0.45,1.3,22.5,0.33,265.25,112.0,25.47,0.0,0.42
2022-12-02 16:00:00,2022-12-02 17:00:00,63.75,125.25,2.7,31.98,19.2,14.05,3.93,1.14,114.67,1.37,14.85,1.2,3.38,28.5,0.35,156.5,38.0,24.6,0.0,1.18
2022-12-02 17:00:00,2022-12-02 18:00:00,67.75,144.75,2.45,33.05,19.57,14.08,3.5,1.22,112.27,1.77,31.93,2.15,6.65,40.0,0.43,100.5,17.0,23.25,0.0,2.6
2022-12-02 18:00:00,2022-12-02 19:00:00,86.25,163.0,2.85,56.7,32.48,13.97,4.92,1.48,71.22,2.23,28.75,2.15,6.52,45.25,0.32,65.75,16.0,22.65,0.0,2.48
2022-12-02 19:00:00,2022-12-02 20:00:00,107.25,193.25,2.48,37.08,21.75,13.92,5.42,1.33,89.92,2.72,41.75,2.3,6.8,47.0,0.68,89.75,16.0,22.3,0.0,2.65
2022-12-02 20:00:00,2022-12-02 21:00:00,115.25,173.0,2.42,29.4,17.6,14.0,14.8,1.19,113.22,1.65,45.42,1.05,2.88,45.5,0.65,88.25,16.0,22.12,0.0,1.03
2022-12-02 21:00:00,2022-12-02 22:00:00,127.75,174.75,2.4,31.55,18.75,14.03,17.95,1.22,110.93,1.8,52.22,1.05,3.12,46.0,0.67,91.25,16.0,21.9,0.0,1.05
2022-12-02 22:00:00,2022-12-02 23:00:00,161.0,221.5,2.33,27.6,16.6,13.97,11.93,1.09,122.3,1.65,57.1,0.98,2.77,45.25,0.7,93.0,16.0,21.77,0.0,0.9
2022-12-02 23:00:00,2022-12-03 00:00:00,133.25,183.75,2.45,20.0,12.65,13.97,9.4,1.02,130.0,1.15,58.78,0.55,1.05,47.5,0.43,77.75,16.0,21.33,0.0,0.3
2022-12-03 00:00:00,2022-12-03 01:00:00,99.5,145.0,2.35,29.2,17.45,14.07,5.23,1.09,109.12,1.15,63.8,0.82,2.25,53.0,0.55,76.0,16.0,20.77,0.0,0.73
2022-12-03 01:00:00,2022-12-03 02:00:00,92.25,141.0,2.38,15.15,10.0,13.97,3.9,0.95,134.77,0.95,63.0,0.4,0.95,51.75,1.0,88.75,16.0,20.98,0.0,0.25
2022-12-03 02:00:00,2022-12-03 03:00:00,85.25,119.0,2.27,11.77,8.07,13.95,3.7,0.89,142.38,0.8,64.25,0.3,0.38,50.75,0.97,88.5,16.0,21.0,0.0,0.1
2022-12-03 03:00:00,2022-12-03 04:00:00,89.25,123.5,2.25,17.7,11.23,14.0,6.95,0.88,125.93,0.8,65.67,0.3,0.3,52.0,0.82,83.25,16.0,20.8,0.0,0.1
2022-12-03 04:00:00,2022-12-03 05:00:00,93.5,127.75,2.22,17.82,11.28,14.03,3.88,0.87,131.2,0.8,66.2,0.3,0.4,54.5,0.43,67.75,16.0,20.45,0.0,0.1
2022-12-03 05:00:00,2022-12-03 06:00:00,95.5,128.75,2.25,14.88,9.73,14.05,3.0,0.86,135.07,0.8,67.03,0.3,0.38,54.25,0.35,76.0,16.0,20.4,0.0,0.1
2022-12-03 06:00:00,2022-12-03 07:00:00,92.0,124.5,2.23,16.35,10.52,14.03,2.5,0.87,125.43,1.08,67.72,0.47,0.47,54.75,0.45,83.75,21.0,20.32,0.0,0.1
2022-12-03 07:00:00,2022-12-03 08:00:00,93.25,127.75,2.47,20.68,13.0,14.03,3.12,0.91,119.25,0.97,67.5,0.43,0.9,52.75,0.5,76.75,57.5,20.85,0.0,0.25
2022-12-03 08:00:00,2022-12-03 09:00:00,96.5,140.75,2.55,18.1,11.7,13.97,3.92,0.92,125.0,1.02,68.35,0.35,0.75,47.5,0.65,85.0,147.25,22.07,0.0,0.22
2022-12-03 09:00:00,2022-12-03 10:00:00,98.25,145.25,2.48,15.6,10.35,14.1,4.67,0.75,134.75,1.0,40.02,0.23,0.4,40.75,0.53,88.75,232.0,23.3,0.0,0.1
2022-12-03 10:00:00,2022-12-03 11:00:00,97.25,143.75,2.38,14.58,9.7,14.03,4.57,0.69,145.05,0.95,12.23,0.17,0.33,34.25,0.53,70.5,290.5,24.22,0.0,0.1
2022-12-03 11:00:00,2022-12-03 12:00:00,89.75,135.75,2.57,13.13,9.07,13.95,4.35,0.83,151.95,0.8,11.5,0.12,0.25,31.25,0.6,131.0,322.75,24.65,0.0,0.03
2022-12-03 12:00:00,2022-12-03 13:00:00,82.0,132.0,2.65,16.8,11.1,14.0,5.9,0.88,162.72,0.9,10.6,0.23,0.55,27.5,0.62,168.0,310.0,24.95,0.0,0.17
2022-12-03 13:00:00,2022-12-03 14:00:00,79.25,136.75,2.52,18.43,11.88,13.97,6.2,0.89,154.57,0.95,20.83,0.38,0.78,22.75,0.8,282.5,267.75,25.38,0.0,0.3
2022-12-03 14:00:00,2022-12-03 15:00:00,69.75,130.0,2.32,18.3,11.6,13.95,5.88,0.88,147.03,0.82,24.45,0.45,1.05,23.5,0.7,300.5,174.5,25.25,0.0,0.45
2022-12-03 15:00:00,2022-12-03 16:00:00,62.25,112.75,2.68,19.0,12.28,14.05,5.45,0.84,146.03,0.75,17.2,0.35,1.08,25.0,0.55,104.0,108.75,25.12,0.0,0.35
2022-12-03 16:00:00,2022-12-03 17:00:00,63.75,111.75,2.33,32.33,19.12,14.0,5.12,1.06,114.55,0.85,26.18,1.02,2.35,30.75,0.2,38.0,40.25,24.65,0.0,0.82
2022-12-03 17:00:00,2022-12-03 18:00:00,66.75,124.75,2.55,32.23,19.25,14.05,6.75,1.06,112.85,1.3,25.55,2.22,5.45,33.5,0.53,23.0,17.0,23.75,0.0,2.05
2022-12-03 18:00:00,2022-12-03 19:00:00,73.25,132.75,2.48,46.0,26.48,13.97,6.35,1.43,82.3,1.75,27.73,1.95,5.68,43.5,0.57,76.75,16.0,22.67,0.0,2.12
2022-12-03 19:00:00,2022-12-03 20:00:00,84.0,143.25,2.48,30.17,18.1,14.08,6.55,1.28,109.25,1.6,25.12,1.18,3.62,46.5,0.58,86.25,16.0,22.43,0.0,1.3
2022-12-03 20:00:00,2022-12-03 21:00:00,94.25,141.0,2.45,26.8,16.23,14.08,7.68,1.15,118.35,1.75,29.1,1.18,3.5,46.75,0.62,89.25,16.0,22.27,0.0,1.25
2022-12-03 21:00:00,2022-12-03 22:00:00,115.25,162.25,2.62,19.23,12.35,13.95,13.85,1.0,135.43,1.2,15.85,0.38,1.33,45.5,0.57,89.75,16.0,22.2,0.0,0.38
2022-12-03 22:00:00,2022-12-03 23:00:00,112.5,153.0,2.1,16.8,10.68,13.97,8.2,0.92,141.05,0.93,28.0,0.33,0.9,47.25,0.4,102.0,16.0,21.87,0.0,0.27
2022-12-03 23:00:00,2022-12-04 00:00:00,91.0,123.5,2.2,15.25,9.9,14.0,9.83,0.89,137.9,0.82,37.7,0.3,0.82,48.75,0.62,92.25,16.0,21.7,0.0,0.25
2022-12-04 00:00:00,2022-12-04 01:00:00,92.0,126.25,2.38,34.02,20.07,14.05,11.28,0.86,114.22,0.75,44.5,0.28,0.6,51.5,0.7,87.0,16.0,21.42,0.0,0.15
2022-12-04 01:00:00,2022-12-04 02:00:00,93.5,128.75,2.35,20.6,12.88,13.97,7.6,0.83,120.55,0.7,48.6,0.2,0.38,53.75,0.75,85.5,16.0,21.15,0.0,0.1
2022-12-04 02:00:00,2022-12-04 03:00:00,90.75,129.0,2.3,23.55,14.38,13.95,5.38,0.91,95.0,0.85,54.1,0.33,0.65,61.75,0.33,78.5,16.0,20.3,0.0,0.17
2022-12-04 03:00:00,2022-12-04 04:00:00,96.25,134.75,2.45,24.25,14.9,14.0,4.92,0.9,91.15,1.05,58.1,0.53,1.27,61.75,0.32,105.5,16.0,20.27,0.0,0.4
2022-12-04 04:00:00,2022-12-04 05:00:00,103.5,139.25,2.28,20.33,12.62,13.97,3.75,0.86,105.22,0.95,59.77,0.3,0.73,61.75,0.35,88.75,16.0,20.25,0.0,0.2
2022-12-04 05:00:00,2022-12-04 06:00:00,102.25,132.25,2.55,13.43,9.2,13.95,4.2,0.84,134.72,0.9,60.53,0.3,0.55,57.25,0.9,88.0,16.0,20.7,0.0,0.15
2022-12-04 06:00:00,2022-12-04 07:00:00,103.0,136.0,2.38,21.98,13.6,13.93,3.88,0.9,109.08,0.88,60.95,0.25,0.45,61.5,0.65,82.5,20.0,20.25,0.0,0.12
2022-12-04 07:00:00,2022-12-04 08:00:00,119.5,164.25,3.35,34.83,21.22,13.97,4.3,0.97,90.05,1.52,61.95,0.4,0.85,60.75,0.53,77.5,57.75,20.52,0.0,0.2
2022-12-04 08:00:00,2022-12-04 09:00:00,148.5,198.25,2.88,25.5,15.9,14.03,5.88,0.89,112.53,1.27,62.38,0.33,0.6,51.25,0.65,81.0,143.25,21.78,0.0,0.12
2022-12-04 09:00:00,2022-12-04 10:00:00,111.5,149.0,2.77,18.43,12.02,14.05,6.42,0.72,138.75,1.05,65.7,0.3,0.45,43.0,0.88,89.75,232.25,22.77,0.0,0.1
2022-12-04 10:00:00,2022-12-04 11:00:00,100.75,143.5,2.6,15.53,10.38,13.97,8.0,0.61,147.4,0.85,62.55,0.27,0.3,37.0,0.82,84.0,298.5,23.6,0.0,0.1
2022-12-04 11:00:00,2022-12-04 12:00:00,92.75,127.75,2.43,14.27,9.57,14.0,10.5,0.73,157.25,0.72,10.22,0.1,0.2,32.75,0.65,75.75,327.5,24.35,0.0,0.0
2022-12-04 12:00:00,2022-12-04 13:00:00,84.5,120.5,2.35,14.95,9.85,14.07,11.05,0.76,164.02,0.62,22.52,0.1,0.25,31.25,0.68,46.25,315.25,24.73,0.0,0.05
2022-12-04 13:00:00,2022-12-04 14:00:00,79.0,117.75,2.5,14.65,9.82,14.05,10.32,0.79,170.28,0.7,28.45,0.2,0.38,28.25,0.68,217.75,279.75,25.2,0.0,0.1
2022-12-04 14:00:00,2022-12-04 15:00:00,77.25,119.0,2.53,14.47,9.73,13.95,9.62,0.77,166.98,0.7,42.1,0.28,0.45,25.75,0.5,250.0,203.5,25.6,0.0,0.1
2022-12-04 15:00:00,2022-12-04 16:00:00,72.5,108.25,2.42,15.35,10.15,13.97,8.65,0.75,158.55,0.6,38.38,0.27,0.43,25.5,0.38,243.75,111.75,25.42,0.0,0.1
2022-12-04 16:00:00,2022-12-04 17:00:00,69.0,107.75,2.67,26.58,16.32,13.95,7.35,0.96,122.85,0.75,33.52,0.5,1.35,29.5,0.17,51.0,40.75,24.8,0.0,0.45
2022-12-04 17:00:00,2022-12-04 18:00:00,69.5,134.5,2.52,32.88,19.52,14.0,7.12,1.17,102.8,1.5,52.08,1.88,5.22,38.25,0.3,61.5,17.0,23.7,0.0,1.95
2022-12-04 18:00:00,2022-12-04 19:00:00,85.5,156.25,2.62,40.55,23.7,14.0,7.72,1.29,87.72,1.55,48.17,1.55,4.58,45.0,0.62,81.5,16.0,22.95,0.0,1.68
2022-12-04 19:00:00,2022-12-04 20:00:00,96.5,151.5,2.5,28.98,17.45,14.0,9.65,1.24,111.25,1.5,63.38,1.1,3.25,50.0,0.65,88.0,16.0,22.52,0.0,1.07
2022-12-04 20:00:00,2022-12-04 21:00:00,101.0,146.5,2.35,17.68,11.33,14.0,12.25,1.01,136.12,1.35,79.05,0.82,2.25,50.0,0.68,89.75,16.0,22.45,0.0,0.75
2022-12-04 21:00:00,2022-12-04 22:00:00,101.75,140.75,2.27,14.78,9.67,14.05,15.32,0.93,145.53,0.95,99.6,0.4,0.85,48.25,0.75,90.5,16.0,22.45,0.0,0.22
2022-12-04 22:00:00,2022-12-04 23:00:00,112.0,145.25,2.4,15.28,10.07,14.0,14.75,0.91,138.6,0.85,113.83,0.5,0.92,49.25,0.53,90.5,16.0,22.18,0.0,0.22
2022-12-04 23:00:00,2022-12-05 00:00:00,97.75,130.5,2.2,12.45,8.4,14.0,12.03,0.85,148.82,0.65,102.35,0.33,0.57,48.5,0.68,92.0,16.0,22.1,0.0,0.15
2022-12-05 00:00:00,2022-12-05 01:00:00,82.0,111.75,2.02,12.9,8.52,14.0,13.25,0.87,149.82,0.6,106.92,0.33,0.5,49.75,0.57,81.25,16.0,21.78,0.0,0.1
2022-12-05 01:00:00,2022-12-05 02:00:00,83.0,116.5,2.08,19.23,11.93,14.03,8.95,0.88,124.22,0.67,101.28,0.35,0.65,54.75,0.55,76.25,16.0,21.12,0.0,0.17
2022-12-05 02:00:00,2022-12-05 03:00:00,82.5,122.0,2.27,18.2,11.52,13.88,5.4,0.85,124.15,0.7,99.77,0.33,0.6,55.0,0.62,77.25,16.0,20.88,0.0,0.12
2022-12-05 03:00:00,2022-12-05 04:00:00,85.5,113.5,2.17,15.78,10.15,13.97,3.77,0.86,117.22,0.7,103.75,0.33,0.55,55.75,0.6,86.75,16.0,20.75,0.0,0.12
2022-12-05 04:00:00,2022-12-05 05:00:00,83.75,112.25,2.38,15.23,10.05,13.97,3.12,0.85,116.42,0.7,104.22,0.3,0.55,56.75,0.65,84.0,16.0,20.57,0.0,0.1
2022-12-05 05:00:00,2022-12-05 06:00:00,82.0,111.75,2.45,17.6,11.4,14.0,2.75,0.86,99.97,0.7,99.35,0.3,0.55,59.75,0.45,80.0,16.0,20.27,0.0,0.12
2022-12-05 06:00:00,2022-12-05 07:00:00,83.0,117.0,2.3,25.0,15.18,14.03,2.43,0.92,77.65,0.93,96.68,0.53,1.12,63.25,0.45,77.0,19.75,19.92,0.0,0.28
2022-12-05 07:00:00,2022-12-05 08:00:00,90.25,142.0,2.82,27.38,16.85,13.95,2.73,0.94,92.8,1.15,94.92,0.7,1.75,54.75,0.53,80.75,55.25,20.73,0.0,0.5
2022-12-05 08:00:00,2022-12-05 09:00:00,88.75,137.5,2.77,17.95,11.8,14.05,3.58,0.86,111.13,0.82,100.53,0.45,0.88,47.5,0.73,86.75,136.25,21.9,0.0,0.25
2022-12-05 09:00:00,2022-12-05 10:00:00,81.75,112.25,2.25,15.55,10.12,14.0,4.15,0.71,121.35,0.78,110.25,0.38,0.67,40.75,0.73,90.75,218.5,22.98,0.0,0.18
2022-12-05 10:00:00,2022-12-05 11:00:00,78.75,110.75,2.52,15.1,10.1,13.97,5.37,0.64,130.77,0.73,87.35,0.35,0.6,37.0,0.88,81.25,276.5,23.65,0.0,0.12
2022-12-05 11:00:00,2022-12-05 12:00:00,79.25,111.75,2.7,15.07,10.2,13.97,6.15,0.83,136.73,0.7,72.58,0.28,0.47,35.0,0.82,77.0,307.0,24.3,0.0,0.1
2022-12-05 12:00:00,2022-12-05 13:00:00,80.75,113.25,2.75,15.8,10.6,13.97,6.92,0.85,148.55,0.78,76.5,0.38,0.75,33.0,0.8,38.0,300.25,24.55,0.0,0.2
2022-12-05 13:00:00,2022-12-05 14:00:00,77.75,119.5,2.52,15.65,10.38,14.0,7.53,0.89,154.15,0.75,85.05,0.42,0.77,32.25,0.73,42.75,257.25,24.95,0.0,0.25
2022-12-05 14:00:00,2022-12-05 15:00:00,78.0,117.25,2.4,15.28,10.07,14.0,7.22,0.87,155.65,0.62,93.85,0.38,0.7,33.0,0.6,53.25,186.75,25.1,0.0,0.2
2022-12-05 15:00:00,2022-12-05 16:00:00,78.75,111.0,2.73,17.77,11.62,13.95,7.75,0.9,148.77,0.67,77.22,0.4,0.95,34.75,0.4,49.5,101.5,25.02,0.0,0.28
2022-12-05 16:00:00,2022-12-05 17:00:00,77.75,122.75,2.65,29.52,17.85,14.0,7.35,1.15,121.7,0.9,64.88,0.8,2.2,39.75,0.32,51.25,38.25,24.5,0.0,0.72
2022-12-05 17:00:00,2022-12-05 18:00:00,83.75,143.5,2.7,39.67,23.3,13.97,8.27,1.28,99.03,1.25,90.83,1.55,4.38,46.25,0.53,52.0,16.75,23.43,0.0,1.6
2022-12-05 18:00:00,2022-12-05 19:00:00,92.25,165.0,2.55,54.75,31.2,13.93,8.72,1.51,74.53,2.15,97.4,2.55,7.3,50.75,0.4,65.0,16.0,22.75,0.0,2.75
2022-12-05 19:00:00,2022-12-05 20:00:00,105.0,165.25,2.35,47.78,27.3,13.97,8.4,1.44,77.8,1.93,113.62,2.23,6.4,52.75,0.43,75.25,16.0,22.42,0.0,2.45
2022-12-05 20:00:00,2022-12-05 21:00:00,111.0,162.75,2.47,37.67,22.05,13.97,6.95,1.39,86.93,1.65,124.93,1.75,4.8,54.0,0.55,80.0,16.0,22.15,0.0,1.73
2022-12-05 21:00:00,2022-12-05 22:00:00,110.0,158.25,2.3,34.9,20.43,14.05,5.88,1.39,86.43,1.48,131.38,1.5,4.1,55.75,0.6,81.75,16.0,21.85,0.0,1.4
2022-12-05 22:00:00,2022-12-05 23:00:00,113.25,167.75,2.33,30.48,18.12,14.0,9.35,1.28,94.9,1.38,134.55,1.3,3.35,56.0,0.85,84.5,16.0,21.6,0.0,1.12
2022-12-05 23:00:00,2022-12-06 00:00:00,112.0,164.75,2.35,19.15,12.07,14.08,5.13,1.13,108.35,1.05,137.15,0.73,1.3,57.5,0.8,80.75,16.0,21.12,0.0,0.35
2022-12-06 00:00:00,2022-12-06 01:00:00,102.75,145.75,2.35,17.95,11.43,14.03,2.55,1.06,112.67,1.0,136.92,0.65,1.08,58.0,0.55,73.5,15.75,20.68,0.0,0.3
2022-12-06 01:00:00,2022-12-06 02:00:00,99.5,141.25,2.42,14.3,9.55,14.1,1.57,1.02,120.12,0.9,139.52,0.55,0.8,57.5,0.73,83.25,15.75,20.58,0.0,0.2
2022-12-06 02:00:00,2022-12-06 03:00:00,92.0,128.0,2.38,11.43,8.0,14.03,1.27,0.94,131.1,0.82,139.47,0.5,0.67,55.25,0.85,90.0,15.5,20.58,0.0,0.18
2022-12-06 03:00:00,2022-12-06 04:00:00,89.75,118.75,2.27,14.82,9.75,14.0,1.27,0.95,109.73,0.8,144.25,0.53,0.7,59.0,0.57,77.0,15.25,20.15,0.0,0.15
2022-12-06 04:00:00,2022-12-06 05:00:00,89.75,120.0,2.35,13.83,9.28,14.07,0.75,0.89,115.82,0.85,144.05,0.55,0.82,58.75,0.35,109.75,15.75,19.95,0.0,0.2
2022-12-06 05:00:00,2022-12-06 06:00:00,86.5,117.0,2.3,13.12,8.85,14.0,0.7,0.87,111.62,0.8,141.3,0.5,0.7,59.25,0.57,82.25,16.0,19.9,0.0,0.12
2022-12-06 06:00:00,2022-12-06 07:00:00,85.75,116.75,2.38,16.93,10.95,14.05,0.88,0.87,109.68,0.88,137.5,0.55,0.85,59.25,0.6,83.0,19.5,19.82,0.0,0.22
2022-12-06 07:00:00,2022-12-06 08:00:00,93.75,133.25,2.58,23.95,14.83,14.03,0.95,0.97,89.68,1.07,139.77,0.68,1.15,58.5,0.33,71.5,54.25,20.07,0.0,0.3
2022-12-06 08:00:00,2022-12-06 09:00:00,114.75,165.5,3.08,28.65,17.73,14.0,1.82,1.04,89.4,1.62,142.52,1.07,2.42,53.75,0.55,61.25,133.0,20.9,0.0,0.72
2022-12-06 09:00:00,2022-12-06 10:00:00,120.75,174.75,2.75,17.58,11.55,14.05,3.77,0.71,126.8,1.08,131.72,0.65,1.22,46.5,0.8,45.75,216.25,21.65,0.0,0.33
2022-12-06 10:00:00,2022-12-06 11:00:00,98.5,144.0,2.77,15.95,10.7,14.0,5.9,0.64,128.65,1.0,116.8,0.5,0.95,41.0,0.72,43.5,279.25,22.62,0.0,0.25
2022-12-06 11:00:00,2022-12-06 12:00:00,93.25,140.25,2.77,15.27,10.4,14.1,9.45,0.77,138.4,0.88,92.58,0.4,0.75,36.0,0.9,39.25,311.75,23.2,0.0,0.2
2022-12-06 12:00:00,2022-12-06 13:00:00,86.0,127.25,2.65,15.6,10.4,14.0,10.1,0.73,145.03,0.78,53.03,0.3,0.73,33.5,1.0,29.0,305.0,23.6,0.0,0.2
2022-12-06 13:00:00,2022-12-06 14:00:00,76.75,119.25,2.85,17.42,11.6,14.1,11.4,0.78,153.68,0.72,41.77,0.32,0.8,30.25,1.05,6.25,263.75,24.02,0.0,0.23
2022-12-06 14:00:00,2022-12-06 15:00:00,74.0,122.5,2.92,16.8,11.33,13.97,8.0,0.8,152.12,0.8,60.8,0.47,1.18,31.0,1.08,12.5,190.0,23.98,0.0,0.35
2022-12-06 15:00:00,2022-12-06 16:00:00,75.5,124.25,2.45,17.25,11.15,13.95,5.97,0.81,147.6,0.77,70.75,0.45,1.0,33.0,1.1,98.0,106.0,23.73,0.0,0.3
2022-12-06 16:00:00,2022-12-06 17:00:00,83.5,129.25,2.48,23.45,14.5,14.05,5.28,0.93,131.68,0.9,74.05,1.3,2.05,36.75,0.62,21.25,38.75,23.1,0.0,0.6
2022-12-06 17:00:00,2022-12-06 18:00:00,93.0,144.0,2.45,29.95,17.93,14.0,4.57,0.99,120.3,1.35,71.35,2.15,4.45,38.5,0.57,14.75,16.5,22.4,0.0,1.7
2022-12-06 18:00:00,2022-12-06 19:00:00,95.25,152.5,2.3,39.17,22.72,13.92,3.4,1.08,96.33,1.45,72.72,2.2,4.8,40.5,0.32,43.75,16.0,21.62,0.0,1.95
2022-12-06 19:00:00,2022-12-06 20:00:00,99.5,153.5,2.45,38.5,22.5,14.0,3.03,1.14,95.67,1.85,96.15,2.0,4.97,44.5,0.43,60.75,16.0,21.25,0.0,1.88
2022-12-06 20:00:00,2022-12-06 21:00:00,113.5,170.0,2.45,42.35,24.53,13.95,4.08,1.29,82.15,2.0,112.5,1.77,4.47,48.75,0.4,80.0,16.0,20.82,0.0,1.62
2022-12-06 21:00:00,2022-12-06 22:00:00,124.0,179.75,2.42,35.1,20.62,14.03,10.0,1.21,97.75,1.9,119.42,1.68,4.22,45.5,0.3,71.25,16.0,20.77,0.0,1.47
2022-12-06 22:00:00,2022-12-06 23:00:00,113.25,159.5,2.38,22.88,14.07,13.93,11.05,1.02,109.1,1.27,108.78,0.93,2.2,41.75,0.35,64.5,15.75,20.67,0.0,0.65
2022-12-06 23:00:00,2022-12-07 00:00:00,90.75,121.5,2.2,20.75,12.8,13.95,8.4,0.94,113.5,1.07,106.0,0.75,1.7,38.25,0.53,48.25,15.0,20.62,0.0,0.5
2022-12-07 00:00:00,2022-12-07 01:00:00,78.25,113.0,2.25,17.77,11.27,14.03,4.25,0.97,111.38,0.77,105.22,0.47,0.9,38.5,0.45,60.0,15.25,20.3,0.0,0.28
2022-12-07 01:00:00,2022-12-07 02:00:00,66.25,99.75,2.38,15.75,10.32,13.97,4.8,0.87,120.32,0.73,102.88,0.38,0.65,38.25,0.5,42.25,15.5,20.18,0.0,0.15
2022-12-07 02:00:00,2022-12-07 03:00:00,60.5,98.5,2.25,15.32,9.97,14.03,5.3,0.83,121.05,0.62,122.52,0.4,0.55,40.75,0.3,63.5,15.5,19.82,0.0,0.1
2022-12-07 03:00:00,2022-12-07 04:00:00,66.0,100.0,2.1,16.93,10.72,14.07,12.55,0.81,114.92,0.68,124.12,0.43,0.6,44.25,0.4,56.25,15.25,19.68,0.0,0.15
2022-12-07 04:00:00,2022-12-07 05:00:00,74.0,111.75,2.17,19.15,11.93,14.05,27.15,0.81,107.32,0.7,127.85,0.45,0.62,46.75,0.3,73.5,15.5,19.42,0.0,0.15
2022-12-07 05:00:00,2022-12-07 06:00:00,81.5,121.25,2.42,17.12,11.05,13.97,16.12,0.81,115.83,0.7,128.45,0.43,0.47,48.0,0.25,206.75,16.0,19.33,0.0,0.12
